TIMESTAMP,II,V
0,885,-1142
1,1262,-1654
2,1383,-1737
3,1374,-1533
4,1402,-1382
5,1486,-1420
6,1534,-1484
7,1493,-1410
8,1405,-1246
9,1318,-1115
10,1233,-1008
11,1137,-859
12,1042,-706
13,950,-621
14,827,-575
15,671,-499
16,556,-406
17,532,-345
18,548,-300
19,520,-242
20,449,-207
21,404,-218
22,407,-228
23,394,-204
24,331,-200
25,261,-235
26,271,-233
27,361,-146
28,444,-60
29,431,-71
30,350,-142
31,300,-171
32,345,-145
33,432,-114
34,478,-94
35,460,-52
36,434,8
37,434,42
38,438,26
39,411,-8
40,372,-10
41,362,33
42,392,89
43,419,115
44,417,98
45,386,47
46,357,-6
47,351,-18
48,391,37
49,475,114
50,576,136
51,615,101
52,539,79
53,374,86
54,239,50
55,235,-31
56,382,-18
57,624,172
58,892,438
59,1103,643
60,1200,776
61,1205,864
62,1225,869
63,1327,786
64,1457,709
65,1524,674
66,1516,574
67,1487,353
68,1461,143
69,1403,43
70,1278,-30
71,1076,-165
72,846,-245
73,644,-151
74,555,20
75,506,92
76,412,39
77,268,-41
78,187,-105
79,183,-151
80,126,-168
81,-18,-152
82,-98,-158
83,-29,-214
84,38,-211
85,-65,40
86,-268,600
87,-378,1295
88,-252,1917
89,338,2435
90,1824,2819
91,4475,2717
92,7855,1714
93,10756,47
94,11823,-1388
95,10350,-2015
96,6805,-2190
97,2672,-2525
98,-438,-2986
99,-1803,-3087
100,-1818,-2654
101,-1294,-1957
102,-760,-1285
103,-418,-770
104,-363,-499
105,-540,-461
106,-689,-480
107,-614,-405
108,-425,-294
109,-339,-256
110,-357,-250
111,-317,-201
112,-181,-142
113,-83,-157
114,-88,-212
115,-150,-229
116,-157,-216
117,-147,-225
118,-169,-264
119,-241,-288
120,-303,-294
121,-325,-286
122,-346,-266
123,-371,-229
124,-339,-219
125,-216,-266
126,-93,-344
127,-93,-387
128,-209,-373
129,-304,-329
130,-287,-306
131,-215,-338
132,-189,-420
133,-201,-487
134,-146,-484
135,-6,-437
136,105,-444
137,90,-535
138,10,-636
139,-11,-668
140,60,-667
141,148,-728
142,204,-874
143,239,-1007
144,287,-1045
145,358,-1027
146,465,-1056
147,617,-1143
148,796,-1193
149,949,-1161
150,1042,-1127
151,1098,-1155
152,1171,-1188
153,1280,-1143
154,1391,-1046
155,1459,-947
