TIMESTAMP,II,V
0,3980,9366
1,4564,10679
2,4130,9484
3,3930,8799
4,4205,9366
5,4294,9713
6,4055,9366
7,3965,9212
8,4205,9603
9,4430,9872
10,4431,9722
11,4314,9477
12,4205,9366
13,4081,9243
14,3980,9129
15,3989,9162
16,4130,9366
17,4288,9545
18,4356,9603
19,4295,9543
20,4205,9484
21,4207,9490
22,4356,9603
23,4535,9724
24,4656,9840
25,4695,9878
26,4731,9840
27,4769,9701
28,4806,9603
29,4861,9635
30,5032,9840
31,5286,10027
32,5482,10077
33,5464,9953
34,5332,9840
35,5302,9809
36,5482,9840
37,5655,9771
38,5557,9603
39,5152,9382
40,4731,9247
41,4538,9199
42,4581,9247
43,4656,9277
44,4656,9247
45,4560,9115
46,4431,9010
47,4306,8964
48,4281,9010
49,4320,9065
50,4356,9129
51,4268,9122
52,4130,9010
53,3974,8805
54,3830,8655
55,3660,8581
56,3530,8536
57,3524,8477
58,3680,8536
59,3870,8681
60,3980,8773
61,3995,8714
62,4055,8773
63,4232,9158
64,4581,9840
65,5220,10475
66,6308,10789
67,7705,10447
68,9162,9247
69,10650,7237
70,12241,4979
71,13302,3046
72,12616,1778
73,9644,1178
74,5557,1304
75,2338,2109
76,1126,3438
77,1526,4916
78,2478,6283
79,3205,7338
80,3530,8062
81,3549,8479
82,3455,8773
83,3407,9017
84,3530,9247
85,3733,9385
86,3830,9484
87,3728,9546
88,3605,9603
89,3598,9569
90,3680,9484
91,3688,9380
92,3680,9366
93,3739,9448
94,3905,9603
95,4043,9710
96,4130,9722
97,4186,9649
98,4205,9603
99,4089,9562
100,3830,9484
101,3574,9331
102,3530,9247
103,3652,9272
104,3755,9366
105,3758,9382
106,3830,9366
107,3995,9349
108,4055,9366
109,3869,9318
110,3680,9247
111,3732,9193
112,3980,9247
113,4180,9358
114,4281,9484
115,4293,9493
116,4205,9366
117,4034,9142
118,3980,9010
119,4093,8985
120,4205,9010
121,4176,8987
122,4205,9010
123,4458,9077
124,4806,9129
125,4953,9042
126,4881,8892
127,4761,8708
128,4731,8536
129,4771,8390
130,4881,8417
131,5019,8535
132,5107,8536
133,5038,8256
134,4881,7943
135,4789,7833
136,4881,7943
137,5062,8003
138,5182,7943
139,5162,7828
140,5107,7825
141,5091,7909
142,5107,8062
143,5044,8190
144,4881,8299
145,4623,8348
146,4356,8417
147,4197,8537
148,4281,8773
149,4512,9030
150,4656,9247
151,4553,9368
152,4356,9484
153,4237,9576
154,4205,9603
155,4114,9490
156,3980,9366
157,3910,9312
158,3980,9366
159,4103,9420
160,4205,9484
161,4230,9541
162,4205,9603
163,4160,9580
164,4130,9484
165,4032,9304
166,3830,9129
167,3635,8998
168,3680,9010
169,3935,9115
170,4130,9247
171,4063,9276
172,3905,9247
173,3876,9210
174,3980,9247
175,4044,9268
176,4055,9247
177,4080,9195
178,4130,9247
179,4097,9340
180,3980,9366
181,3840,9235
182,3755,9129
183,3720,9140
184,3755,9247
185,3824,9274
186,3905,9247
187,3969,9217
188,4055,9247
189,4126,9250
190,4130,9247
191,4044,9231
192,3980,9247
193,3992,9241
194,4055,9247
195,4089,9239
196,4130,9247
197,4198,9234
198,4281,9247
199,4319,9246
200,4356,9247
201,4420,9222
202,4506,9247
203,4551,9298
204,4581,9366
205,4631,9371
206,4731,9366
207,4844,9354
208,4956,9366
209,5022,9318
210,5032,9247
211,5005,9194
212,5032,9247
213,5096,9300
214,5107,9247
215,4944,9013
216,4656,8773
217,4369,8672
218,4205,8773
219,4144,8886
220,4130,8892
221,4078,8728
222,3980,8536
223,3825,8370
224,3680,8299
225,3561,8274
226,3530,8299
227,3526,8346
228,3530,8417
229,3504,8442
230,3530,8417
231,3631,8411
232,3755,8536
233,3780,8641
234,3680,8536
235,3475,8250
236,3304,8180
237,3369,8476
238,3830,9010
239,4500,9636
240,5107,10433
241,5751,11037
242,6909,10670
243,8635,8852
244,10364,6165
245,11500,3509
246,11866,1423
247,11159,37
248,8937,-356
249,5511,314
250,2403,1660
251,1003,3034
252,1277,4268
253,2121,5455
254,2779,6639
255,3182,7606
256,3455,8299
257,3560,8737
258,3530,9010
259,3428,9104
260,3304,9129
261,3210,9151
262,3304,9247
263,3562,9325
264,3755,9366
265,3672,9319
266,3455,9247
267,3300,9165
268,3304,9129
269,3381,9150
270,3530,9247
271,3689,9346
272,3755,9366
273,3642,9224
274,3455,9010
275,3345,8856
276,3379,8892
277,3497,9017
278,3680,9129
279,3888,9168
280,4055,9247
281,4059,9310
282,3905,9247
283,3682,8994
284,3530,8773
285,3483,8713
286,3530,8773
287,3598,8776
288,3680,8773
289,3756,8814
290,3830,8892
291,3852,8868
292,3830,8773
293,3792,8641
294,3830,8536
295,3953,8436
296,4130,8417
297,4269,8433
298,4356,8417
299,4414,8289
300,4506,8180
301,4597,8154
302,4656,8180
303,4675,8068
304,4731,7825
305,4817,7564
306,4881,7469
307,4874,7471
308,4881,7469
309,4963,7387
310,5107,7350
311,5207,7355
312,5257,7350
313,5289,7263
314,5332,7232
315,5288,7282
316,5107,7350
317,4841,7325
318,4656,7350
319,4590,7523
320,4581,7825
321,4538,8078
322,4506,8299
323,4505,8522
324,4506,8773
325,4434,8931
326,4356,9010
327,4351,9047
328,4431,9129
329,4453,9198
330,4356,9247
331,4195,9243
332,4130,9247
333,4165,9241
334,4205,9247
335,4149,9233
336,4055,9247
337,3989,9253
338,3980,9247
339,3992,9177
340,4055,9129
341,4147,9143
342,4205,9247
343,4133,9301
344,3980,9247
345,3848,9093
346,3830,9010
347,3887,9029
348,3980,9129
349,4063,9192
350,4130,9247
351,4109,9262
352,3980,9247
353,3809,9165
354,3755,9129
355,3822,9160
356,3905,9247
357,3924,9265
358,3980,9247
359,4104,9219
360,4205,9247
361,4179,9254
362,4130,9247
363,4151,9220
364,4205,9247
365,4154,9262
366,4055,9247
367,4052,9200
368,4205,9247
369,4329,9336
370,4281,9366
371,4096,9246
372,3980,9129
373,3973,9061
374,3980,9010
375,3934,8901
376,3980,8892
377,4205,9036
378,4506,9247
379,4679,9333
380,4731,9366
381,4796,9417
382,4956,9484
383,5111,9410
384,5182,9247
385,5175,9112
386,5182,9129
387,5199,9200
388,5182,9247
389,5068,9168
390,4881,9010
391,4631,8802
392,4356,8655
393,4104,8561
394,3980,8536
395,3974,8516
396,3980,8536
397,3864,8538
398,3680,8536
399,3520,8510
400,3455,8536
401,3386,8563
402,3304,8536
403,3221,8445
404,3229,8417
405,3282,8474
406,3304,8536
407,3259,8524
408,3229,8536
409,3256,8567
410,3304,8536
411,3296,8393
412,3304,8417
413,3450,8829
414,3830,9603
415,4433,10369
416,5257,10789
417,6292,10493
418,7585,9247
419,9133,6989
420,10739,4149
421,11766,1364
422,11415,-711
423,9333,-1756
424,6083,-1660
425,2792,-648
426,526,948
427,-224,2706
428,375,4387
429,1561,5791
430,2478,6876
431,2740,7629
432,2628,8180
433,2557,8549
434,2628,8773
435,2668,8874
436,2628,9010
437,2595,9162
438,2628,9247
439,2642,9178
440,2628,9129
441,2645,9169
442,2779,9247
443,2910,9249
444,2929,9247
445,2824,9274
446,2779,9247
447,2850,9106
448,2929,9010
449,2906,9048
450,2854,9129
451,2852,9084
452,2854,9010
453,2755,8992
454,2628,9010
455,2581,8912
