TIME,II,V
0,-1089,2656
1,-1091,3011
2,-919,2692
3,-1000,2579
4,-1210,2838
5,-1213,2986
6,-1089,2874
7,-1115,2792
8,-1282,2874
9,-1401,2943
10,-1476,2911
11,-1566,2869
12,-1549,2874
13,-1339,2870
14,-1161,2838
15,-1268,2809
16,-1549,2802
17,-1665,2798
18,-1524,2802
19,-1358,2804
20,-1379,2802
21,-1512,2793
22,-1549,2802
23,-1441,2809
24,-1355,2802
25,-1414,2753
26,-1549,2692
27,-1603,2639
28,-1549,2620
29,-1452,2616
30,-1331,2620
31,-1111,2603
32,-823,2583
33,-647,2562
34,-726,2547
35,-918,2531
36,-968,2547
37,-847,2566
38,-798,2547
39,-923,2514
40,-1016,2547
41,-873,2550
42,-653,2401
43,-650,2256
44,-895,2401
45,-1138,2640
46,-1234,2511
47,-1285,2207
48,-1428,2547
49,-1578,3568
50,-1549,4148
51,-1299,3557
52,-1040,2583
53,-997,2320
54,-1186,2620
55,-1420,2606
56,-1549,2110
57,-1564,1684
58,-1549,1565
59,-1543,1463
60,-1549,1201
61,-1549,922
62,-1549,728
63,-1547,519
64,-1549,255
65,-1549,21
66,-1549,-73
67,-1547,-53
68,-1549,-36
69,-1549,-213
70,-1549,-655
71,-1548,-1258
72,-1549,-1783
73,-1548,-2125
74,-1549,-2292
75,-1549,-2342
76,-1549,-2292
77,-1545,-2253
78,-1549,-2292
79,-1556,-2256
80,-1549,-1783
81,-1482,-767
82,-1307,473
83,-1000,1511
84,-605,2256
85,-211,2837
86,97,3311
87,292,3597
88,411,3711
89,519,3762
90,605,3820
91,584,3846
92,411,3820
93,218,3783
94,194,3784
95,358,3812
96,508,3820
97,481,3778
98,363,3711
99,363,3671
100,508,3675
101,609,3677
102,532,3638
103,425,3579
104,508,3566
105,733,3592
106,774,3602
107,455,3540
108,0,3457
109,-233,3399
110,-145,3384
111,89,3365
112,290,3347
113,393,3327
114,411,3311
115,415,3272
116,484,3238
117,573,3211
118,508,3202
119,206,3191
120,-169,3202
121,-381,3213
122,-363,3202
123,-229,3144
124,-97,3093
125,-21,3067
126,-24,3056
127,-100,3018
128,-169,2984
129,-149,2981
130,-24,3020
131,129,3050
132,218,3056
133,215,3027
134,194,2984
135,267,2933
136,460,2911
137,643,2899
138,677,2874
139,607,2804
140,629,2729
141,800,2675
142,895,2656
143,658,2636
144,169,2620
145,-137,2599
146,73,2583
147,639,2560
148,1065,2547
149,1070,2541
150,847,2547
151,725,2545
152,750,2547
153,731,2545
154,557,2547
155,295,2539
156,73,2547
157,-3,2573
158,97,2620
159,229,2638
160,194,2620
161,27,2591
162,-24,2620
163,81,2687
164,73,2729
165,-178,2688
166,-411,2620
167,-404,2577
168,-315,2583
169,-360,2606
170,-436,2656
171,-349,2727
172,-218,2802
173,-314,2842
174,-605,2874
175,-755,2908
176,-581,2947
177,-282,2963
178,-145,2984
179,-160,3016
180,-97,3056
181,123,3065
182,290,3056
183,207,3055
184,-24,3093
185,-147,3127
186,-97,3129
187,-54,3087
188,-145,3056
189,-260,3049
190,-242,3056
191,-139,3052
192,-121,3056
193,-182,3051
194,-145,3020
195,11,2971
196,48,2984
197,-165,3042
198,-411,3056
199,-415,2966
200,-218,2874
201,-58,2865
202,-24,2911
203,-6,2909
204,73,2874
205,177,2857
206,266,2874
207,336,2878
208,339,2874
209,200,2873
210,-48,2874
211,-211,2843
212,-145,2802
213,3,2761
214,-48,2729
215,-285,2694
216,-387,2692
217,-246,2714
218,-194,2729
219,-512,2695
220,-992,2656
221,-1242,2639
222,-1210,2656
223,-1095,2681
224,-992,2729
225,-873,2769
226,-774,2765
227,-719,2701
228,-629,2656
229,-497,2674
230,-484,2729
231,-656,2744
232,-798,2729
233,-675,2716
234,-363,2729
235,-155,2734
236,-194,2729
237,-338,2710
238,-411,2692
239,-450,2667
240,-581,2656
241,-727,2649
242,-702,2656
243,-552,2659
244,-532,2656
245,-654,2645
246,-653,2656
247,-472,2655
248,-460,2620
249,-825,2613
250,-1210,2729
251,-1094,2833
252,-581,2729
253,-326,2537
254,-605,2583
255,-772,2742
256,-218,2583
257,474,2270
258,145,2583
259,-1048,3573
260,-1549,4148
261,-610,3556
262,484,2547
263,276,2221
264,-871,2511
265,-1595,2595
266,-1549,2256
267,-1416,1931
268,-1549,1819
269,-1641,1714
270,-1549,1528
271,-1485,1379
272,-1549,1273
273,-1586,1105
274,-1549,910
275,-1528,762
276,-1549,655
277,-1556,554
278,-1549,546
279,-1550,619
280,-1549,582
281,-1539,215
282,-1549,-437
283,-1564,-1175
284,-1549,-1783
285,-1527,-2162
286,-1549,-2292
287,-1579,-2297
288,-1549,-2292
289,-1496,-2230
290,-1549,-1856
291,-1655,-1054
292,-1549,0
293,-1083,999
294,-508,1819
295,-203,2469
296,-218,2947
297,-212,3211
298,73,3311
299,457,3345
300,557,3384
301,320,3420
302,121,3457
303,274,3485
304,629,3493
305,796,3464
306,629,3420
307,332,3382
308,169,3347
309,248,3307
310,484,3275
311,676,3266
312,653,3275
313,486,3267
314,436,3238
315,629,3204
316,895,3202
317,1032,3208
318,1065,3202
319,1096,3171
320,1113,3165
321,1077,3186
322,1065,3202
323,1135,3160
324,1210,3093
325,1196,3038
326,1137,3020
327,1100,2992
328,1065,2947
329,1011,2904
330,1016,2911
331,1125,2938
332,1234,2947
333,1210,2920
334,1113,2911
335,1138,2929
336,1331,2947
337,1418,2927
338,1137,2911
339,660,2922
340,460,2947
341,654,2936
342,895,2911
343,966,2891
344,1065,2874
345,1228,2815
346,1113,2729
347,658,2642
348,411,2583
349,682,2528
350,992,2474
351,862,2405
352,629,2329
353,841,2233
354,1355,2147
355,1610,2086
356,1476,2074
357,1231,2077
358,1016,2074
359,782,2047
360,605,2038
361,616,2067
362,726,2147
363,706,2229
364,532,2292
365,418,2315
366,508,2329
367,665,2348
368,677,2401
369,581,2470
370,605,2547
371,760,2613
372,774,2692
373,529,2782
374,290,2874
375,285,2930
376,363,2947
377,300,2930
378,194,2911
379,215,2889
380,290,2874
381,251,2863
382,194,2874
383,226,2895
384,242,2911
385,126,2895
386,73,2874
387,246,2863
388,508,2874
389,654,2880
390,726,2874
391,733,2841
392,605,2802
393,528,2787
394,823,2838
395,1161,2892
396,871,2874
397,278,2779
398,750,2729
399,2683,2761
400,4621,2802
401,5124,2757
402,4621,2692
403,4371,2684
404,4621,2729
405,4751,2741
406,4621,2729
407,4579,2731
408,4621,2765
409,4397,2776
410,3944,2765
411,3631,2762
412,3557,2802
413,3420,2847
414,3097,2874
415,2864,2870
416,3049,2874
417,3540,2900
418,3944,2947
419,4072,2966
420,4162,2947
421,4382,2910
422,4525,2911
423,4299,2935
424,3871,2947
425,3614,2912
426,3654,2874
427,3769,2861
428,3775,2874
429,3607,2875
430,3339,2874
431,3163,2874
432,3339,2874
433,3773,2844
434,4089,2802
435,4138,2756
436,4210,2729
437,4392,2713
438,4355,2729
439,3919,2753
440,3436,2765
441,3127,2742
442,2807,2729
443,2428,2740
444,2371,2765
445,2593,2759
446,2420,2729
447,1634,2687
448,1161,2656
449,1818,2626
450,3049,2620
451,3579,2631
452,3121,2656
453,2554,2661
454,2637,2656
455,3078,2644
456,3170,2656
457,2799,2678
458,2541,2692
459,2692,2684
460,2879,2692
461,2664,2686
462,2226,2620
463,1948,2533
464,1839,2547
465,1721,2600
466,1670,2547
467,1766,2475
468,1839,2620
469,1827,2792
470,1960,2583
471,2201,2228
472,2105,2547
473,1653,3567
474,1549,4148
475,2125,3525
476,2662,2474
477,2392,2130
478,1621,2438
479,1153,2561
480,1113,2256
481,977,1945
482,508,1819
483,5,1668
484,-266,1419
485,-414,1228
486,-653,1128
487,-1008,993
488,-1331,800
489,-1509,614
490,-1549,473
491,-1546,380
492,-1549,400
493,-1555,492
494,-1549,473
495,-1549,143
496,-1549,-473
497,-1547,-1216
498,-1549,-1856
499,-1562,-2230
500,-1549,-2292
501,-1525,-2239
502,-1549,-2292
503,-1596,-2424
504,-1549,-2292
505,-1372,-1690
506,-1137,-764
507,-799,192
508,-218,1092
509,515,1931
510,1040,2620
511,1214,3033
512,1282,3238
513,1470,3377
514,1621,3493
515,1559,3524
516,1452,3493
517,1576,3472
518,1815,3493
519,1767,3507
520,1282,3493
521,701,3469
522,387,3457
523,296,3443
524,169,3420
525,94,3395
526,339,3384
527,693,3385
528,460,3384
529,-540,3354
530,-1549,3311
531,-1817,3274
532,-1549,3275
533,-1409,3281
534,-1549,3275
535,-1634,3246
536,-1549,3238
537,-1494,3241
538,-1549,3238
539,-1584,3219
540,-1549,3238
541,-1527,3285
542,-1549,3311
543,-1561,3273
544,-1549,3238
545,-1541,3247
546,-1549,3275
547,-1552,3240
548,-1549,3165
549,-1546,3105
550,-1549,3093
551,-1549,3073
552,-1549,3020
553,-1544,2937
554,-1549,2874
555,-1551,2832
556,-1549,2802
557,-1541,2760
558,-1549,2729
559,-1558,2706
560,-1549,2692
561,-1497,2658
562,-1428,2620
563,-1349,2578
564,-1234,2547
565,-1017,2507
566,-726,2474
567,-509,2437
568,-532,2401
569,-770,2356
570,-1040,2329
571,-1202,2309
572,-1307,2292
573,-1430,2271
574,-1549,2292
575,-1580,2348
576,-1549,2401
577,-1529,2405
578,-1549,2401
579,-1558,2432
580,-1549,2511
581,-1540,2588
582,-1549,2656
583,-1551,2709
584,-1549,2765
585,-1544,2807
586,-1549,2838
587,-1549,2835
588,-1549,2802
589,-1547,2747
590,-1549,2729
591,-1549,2764
592,-1549,2838
593,-1545,2882
594,-1549,2874
595,-1552,2829
596,-1549,2802
597,-1539,2796
598,-1549,2802
599,-1560,2794
600,-1549,2802
601,-1529,2821
602,-1549,2838
603,-1578,2823
604,-1549,2802
605,-1507,2780
606,-1549,2765
607,-1636,2747
608,-1549,2765
609,-1174,2817
610,-702,2874
611,-497,2884
612,-653,2874
613,-847,2877
614,-750,2911
615,-561,2937
616,-702,2947
617,-1071,2932
618,-1137,2911
619,-878,2892
620,-774,2911
621,-668,2960
622,411,3020
623,2630,3047
624,4621,3056
625,5129,3065
626,4621,3093
627,4357,3106
628,4621,3093
629,4787,3049
630,4621,3020
631,4508,3011
632,4621,3020
633,4632,3009
634,4307,2984
635,3846,2943
636,3557,2911
637,3450,2893
638,3387,2911
639,3439,2926
640,3799,2911
641,4303,2859
642,4452,2838
643,4099,2856
644,3726,2874
645,3713,2841
646,3823,2802
647,3689,2788
648,3508,2802
649,3595,2800
650,3799,2802
651,3709,2806
652,3339,2802
653,3006,2772
654,2855,2765
655,2718,2787
656,2516,2802
657,2305,2763
658,2129,2729
659,1897,2744
660,1597,2802
661,1393,2833
662,1524,2838
663,1987,2844
664,2516,2874
665,2792,2888
666,2734,2874
667,2441,2843
668,2105,2838
669,1911,2831
670,1984,2802
671,2189,2731
672,2274,2656
673,2189,2609
674,2202,2620
675,2447,2616
676,2662,2547
677,2480,2482
678,1984,2547
679,1652,2631
680,1791,2547
681,2148,2405
682,2250,2511
