TIME,II,V
0,1442,-1319
1,1568,-1416
2,1421,-1261
3,1515,-1331
4,1540,-1337
5,1531,-1314
6,1522,-1292
7,1541,-1298
8,1560,-1307
9,1556,-1300
10,1550,-1292
11,1555,-1297
12,1562,-1303
13,1555,-1300
14,1547,-1297
15,1544,-1298
16,1540,-1298
17,1532,-1294
18,1526,-1290
19,1525,-1289
20,1521,-1286
21,1517,-1283
22,1516,-1283
23,1513,-1281
24,1513,-1281
25,1512,-1278
26,1514,-1276
27,1514,-1272
28,1519,-1271
29,1521,-1268
30,1529,-1269
31,1533,-1267
32,1542,-1269
33,1546,-1267
34,1554,-1269
35,1556,-1266
36,1565,-1271
37,1566,-1275
38,1574,-1292
39,1573,-1307
40,1582,-1329
41,1581,-1333
42,1587,-1326
43,1577,-1289
44,1567,-1241
45,1538,-1180
46,1520,-1138
47,1509,-1116
48,1529,-1131
49,1560,-1162
50,1601,-1205
51,1620,-1234
52,1622,-1250
53,1601,-1246
54,1588,-1240
55,1591,-1232
56,1627,-1233
57,1680,-1234
58,1745,-1236
59,1799,-1229
60,1840,-1216
61,1856,-1194
62,1855,-1172
63,1833,-1151
64,1796,-1140
65,1742,-1138
66,1681,-1152
67,1617,-1176
68,1569,-1207
69,1543,-1236
70,1554,-1260
71,1592,-1273
72,1659,-1280
73,1727,-1273
74,1795,-1263
75,1840,-1245
76,1878,-1234
77,1895,-1224
78,1913,-1225
79,1915,-1223
80,1918,-1225
81,1896,-1214
82,1883,-1201
83,1854,-1178
84,1844,-1169
85,1837,-1167
86,1853,-1191
87,1873,-1222
88,1911,-1263
89,1942,-1292
90,1978,-1315
91,2002,-1318
92,2035,-1314
93,2065,-1299
94,2097,-1287
95,2108,-1273
96,2108,-1268
97,2106,-1260
98,2151,-1248
99,2262,-1218
100,2432,-1177
101,2583,-1135
102,2627,-1119
103,2500,-1140
104,2237,-1199
105,1940,-1270
106,1742,-1325
107,1710,-1342
108,1826,-1325
109,1997,-1288
110,2140,-1257
111,2202,-1238
112,2207,-1236
113,2184,-1237
114,2174,-1241
115,2172,-1237
116,2182,-1236
117,2178,-1231
118,2178,-1233
119,2167,-1231
120,2168,-1236
121,2161,-1235
122,2164,-1240
123,2153,-1238
124,2156,-1241
125,2145,-1237
126,2147,-1239
127,2137,-1234
128,2135,-1237
129,2125,-1233
130,2128,-1236
131,2121,-1233
132,2124,-1236
133,2118,-1234
134,2118,-1236
135,2112,-1235
136,2113,-1237
137,2107,-1236
138,2106,-1238
139,2100,-1237
140,2099,-1239
141,2094,-1238
142,2093,-1239
143,2091,-1238
144,2091,-1239
145,2088,-1237
146,2086,-1238
147,2079,-1237
148,2073,-1237
149,2064,-1235
150,2059,-1233
151,2052,-1229
152,2048,-1226
153,2037,-1220
154,2027,-1218
155,2012,-1215
156,2004,-1217
157,1992,-1216
158,1978,-1218
159,1942,-1208
160,1895,-1195
161,1833,-1174
162,1793,-1165
163,1780,-1163
164,1817,-1184
165,1867,-1208
166,1923,-1237
167,1936,-1246
168,1921,-1246
169,1870,-1228
170,1825,-1215
171,1783,-1200
172,1765,-1197
173,1749,-1192
174,1741,-1193
175,1724,-1189
176,1711,-1191
177,1693,-1189
178,1680,-1190
179,1664,-1187
180,1652,-1185
181,1637,-1179
182,1627,-1179
183,1618,-1179
184,1609,-1186
185,1595,-1191
186,1564,-1197
187,1513,-1197
188,1432,-1196
189,1330,-1192
190,1211,-1191
191,1088,-1195
192,962,-1205
193,832,-1214
194,669,-1219
195,459,-1209
196,188,-1186
197,-125,-1158
198,-453,-1136
199,-753,-1128
200,-1017,-1144
201,-1233,-1173
202,-1434,-1211
203,-1632,-1244
204,-1849,-1271
205,-2082,-1283
206,-2323,-1285
207,-2551,-1268
208,-2755,-1238
209,-2930,-1192
210,-3077,-1142
211,-3199,-1087
212,-3275,-1029
213,-3283,-952
214,-3196,-856
215,-3034,-737
216,-2849,-627
217,-2732,-549
218,-2734,-534
219,-2850,-571
220,-2991,-637
221,-3049,-679
222,-2952,-670
223,-2711,-592
224,-2394,-466
225,-2089,-314
226,-1837,-164
227,-1634,-25
228,-1446,95
229,-1249,193
230,-1036,255
231,-822,269
232,-620,215
233,-438,91
234,-272,-100
235,-120,-329
236,21,-576
237,148,-805
238,267,-1007
239,381,-1167
240,504,-1298
241,629,-1399
242,763,-1492
243,894,-1570
244,1022,-1646
245,1139,-1705
246,1254,-1758
247,1353,-1790
248,1449,-1815
249,1531,-1815
250,1612,-1804
251,1682,-1767
252,1765,-1723
253,1849,-1671
254,1955,-1641
255,2066,-1635
256,2192,-1672
257,2311,-1736
258,2433,-1827
259,2543,-1917
260,2653,-2005
261,2751,-2073
262,2847,-2130
263,2929,-2164
264,3005,-2189
265,3067,-2205
266,3132,-2233
267,3205,-2281
268,3307,-2367
269,3439,-2484
270,3610,-2630
271,3805,-2779
272,4016,-2922
273,4216,-3039
274,4401,-3137
275,4559,-3213
276,4707,-3286
277,4846,-3354
278,4999,-3430
279,5148,-3500
280,5295,-3572
281,5403,-3629
282,5479,-3690
283,5505,-3738
284,5521,-3800
285,5519,-3853
286,5535,-3916
287,5537,-3953
288,5546,-3986
289,5522,-3986
290,5496,-3984
291,5435,-3955
292,5381,-3935
293,5296,-3894
294,5220,-3867
295,5112,-3820
296,5010,-3785
297,4878,-3733
298,4754,-3692
299,4606,-3633
300,4469,-3583
301,4313,-3521
302,4171,-3469
303,4016,-3405
304,3877,-3348
305,3730,-3280
306,3595,-3215
307,3451,-3138
308,3319,-3061
309,3184,-2974
310,3058,-2889
311,2928,-2797
312,2812,-2706
313,2697,-2612
314,2592,-2522
315,2490,-2427
316,2390,-2338
317,2291,-2247
318,2200,-2162
319,2109,-2074
320,2025,-1992
321,1935,-1909
322,1853,-1835
323,1773,-1759
324,1705,-1692
325,1629,-1624
326,1551,-1569
327,1468,-1510
328,1430,-1454
329,1462,-1375
330,1591,-1291
331,1745,-1192
332,1841,-1125
333,1757,-1091
334,1492,-1119
335,1104,-1169
336,761,-1228
337,567,-1243
338,574,-1227
339,698,-1172
340,851,-1122
341,936,-1078
342,954,-1061
343,922,-1051
344,893,-1050
345,877,-1043
346,877,-1039
347,874,-1033
348,870,-1032
349,860,-1028
350,855,-1027
351,853,-1022
352,852,-1020
353,848,-1017
354,845,-1015
355,837,-1013
356,835,-1011
357,829,-1008
358,823,-1007
359,817,-1005
360,813,-1006
361,809,-1005
362,810,-1007
363,807,-1006
364,805,-1008
365,802,-1007
366,801,-1008
367,798,-1006
368,797,-1009
369,794,-1007
370,795,-1010
371,794,-1008
372,797,-1011
373,798,-1008
374,804,-1012
375,806,-1011
376,812,-1017
377,811,-1017
378,811,-1023
379,805,-1023
380,802,-1028
381,796,-1029
382,795,-1034
383,791,-1033
384,789,-1034
385,784,-1031
386,784,-1033
387,783,-1033
388,782,-1036
389,769,-1034
390,744,-1026
391,705,-1009
392,674,-994
393,667,-987
394,700,-998
395,760,-1021
396,827,-1049
397,871,-1069
398,880,-1075
399,857,-1068
400,825,-1056
401,801,-1044
402,797,-1040
403,806,-1037
404,824,-1037
405,840,-1033
406,856,-1031
407,868,-1027
408,883,-1028
409,896,-1027
410,910,-1029
411,916,-1026
412,923,-1025
413,922,-1018
414,923,-1016
415,917,-1009
416,914,-1009
417,906,-1005
418,906,-1007
419,902,-1004
420,904,-1007
421,901,-1005
422,903,-1008
423,902,-1008
424,906,-1014
425,908,-1014
426,916,-1018
427,920,-1017
428,931,-1017
429,939,-1011
430,949,-1008
