TIME,II,V
0,5808,7486
1,6577,8481
2,5808,7486
3,5408,6963
4,5808,7486
5,6046,7805
6,5808,7486
7,5654,7237
8,5808,7387
9,5897,7492
10,5808,7387
11,5774,7322
12,5871,7387
13,5913,7405
14,5871,7387
15,5845,7426
16,5871,7486
17,5879,7451
18,5871,7387
19,5865,7369
20,5871,7387
21,5863,7374
22,5871,7387
23,5869,7427
24,5871,7486
25,5857,7488
26,5871,7486
27,5896,7482
28,5935,7486
29,5952,7434
30,5998,7387
31,6072,7363
32,6187,7387
33,6286,7389
34,6377,7387
35,6438,7374
36,6503,7387
37,6554,7381
38,6629,7387
39,6697,7407
40,6755,7486
41,6761,7553
42,6755,7584
43,6744,7562
44,6755,7584
45,6738,7637
46,6692,7683
47,6597,7639
48,6503,7584
49,6417,7561
50,6377,7584
51,6343,7554
52,6313,7486
53,6248,7405
54,6187,7387
55,6135,7386
56,6124,7387
57,6102,7338
58,6061,7289
59,5983,7253
60,5935,7289
61,5900,7340
62,5871,7387
63,5803,7384
64,5745,7387
65,5685,7383
66,5619,7387
67,5507,7370
68,5430,7387
69,5401,7430
70,5430,7486
71,5429,7495
72,5430,7486
73,5417,7475
74,5430,7486
75,5422,7484
76,5430,7486
77,5428,7478
78,5430,7486
79,5407,7481
80,5430,7486
81,5531,7481
82,5745,7486
83,6023,7435
84,6377,7289
85,6831,6953
86,7450,6402
87,8184,5571
88,8965,4531
89,9697,3418
90,10354,2462
91,10814,1684
92,10922,1083
93,10535,752
94,9723,985
95,8656,1769
96,7576,2758
97,6646,3514
98,5998,4038
99,5590,4501
100,5303,5023
101,4990,5497
102,4672,5910
103,4415,6238
104,4293,6501
105,4262,6675
106,4293,6895
107,4325,7203
108,4356,7584
109,4355,7931
110,4356,8274
111,4346,8598
112,4356,8865
113,4349,8997
114,4356,9062
115,4348,9110
116,4356,9160
117,4351,9163
118,4356,9160
119,4351,9158
120,4356,9160
121,4351,9109
122,4356,9062
123,4351,9037
124,4356,9062
125,4352,9064
126,4356,9062
127,4351,9046
128,4356,9062
129,4352,9060
130,4356,9062
131,4351,9044
132,4356,9062
133,4353,9067
134,4356,9062
135,4350,9002
136,4356,8963
137,4355,8941
138,4356,8963
139,4345,8960
140,4356,8963
141,4378,8950
142,4419,8963
143,4447,8956
144,4483,8963
145,4512,8952
146,4546,8963
147,4550,8955
148,4546,8963
149,4534,8953
150,4546,8963
151,4551,8954
152,4546,8963
153,4509,8954
154,4483,8963
155,4469,8954
156,4483,8963
157,4484,8954
158,4483,8963
159,4472,8954
160,4483,8963
161,4484,8954
162,4483,8963
163,4467,8953
164,4483,8963
165,4511,8955
166,4546,8963
167,4547,8952
168,4546,8963
169,4540,8956
170,4546,8963
171,4536,8951
172,4546,8963
173,4569,8959
174,4609,8963
175,4615,8943
176,4609,8963
177,4594,8999
178,4609,9062
179,4630,9071
180,4672,9062
181,4702,9034
182,4735,9062
183,4756,9104
184,4798,9160
185,4832,9165
186,4861,9160
187,4873,9140
188,4924,9160
189,4990,9163
190,5051,9160
191,5066,9133
192,5114,9160
193,5216,9207
194,5366,9259
195,5475,9254
196,5556,9259
197,5627,9259
198,5745,9259
199,5869,9200
200,5998,9160
201,6109,9144
202,6250,9160
203,6399,9120
204,6566,9062
205,6716,8996
206,6882,8963
207,7039,8882
208,7197,8766
209,7320,8631
210,7450,8569
211,7573,8529
212,7702,8471
213,7796,8325
214,7892,8175
215,7981,8050
216,8081,7978
217,8150,7878
218,8207,7781
219,8223,7699
220,8207,7683
221,8141,7651
222,8081,7584
223,8017,7462
224,7955,7387
225,7856,7364
226,7765,7387
227,7672,7356
228,7576,7289
229,7423,7206
230,7260,7190
231,7110,7193
232,7008,7190
233,6888,7133
234,6755,7092
235,6621,7071
236,6566,7092
237,6543,7091
238,6503,7092
239,6378,7079
240,6250,7092
241,6159,7088
242,6124,7092
243,6064,7081
244,5998,7092
245,5937,7088
246,5935,7092
247,5937,7080
248,5935,7092
249,5896,7091
250,5871,7092
251,5855,7072
252,5871,7092
253,5872,7132
254,5871,7190
255,5857,7199
256,5871,7190
257,5877,7172
258,5871,7190
259,5829,7194
260,5808,7190
261,5799,7167
262,5808,7190
263,5796,7234
264,5808,7289
265,5833,7293
266,5871,7289
267,5872,7275
268,5871,7289
269,5865,7285
270,5871,7289
271,5860,7279
272,5871,7289
273,5896,7283
274,5935,7289
275,5936,7280
276,5935,7289
277,5927,7282
278,5935,7289
279,5927,7281
280,5935,7289
281,5936,7281
282,5935,7289
283,5896,7282
284,5871,7289
285,5859,7280
286,5871,7289
287,5865,7283
288,5871,7289
289,5872,7279
290,5871,7289
291,5834,7285
292,5808,7289
293,5797,7274
294,5808,7289
295,5783,7294
296,5745,7289
297,5697,7232
298,5682,7190
299,5672,7170
300,5682,7190
301,5679,7190
302,5682,7190
303,5670,7179
304,5682,7190
305,5703,7185
306,5745,7190
307,5757,7181
308,5745,7190
309,5702,7184
310,5682,7190
311,5673,7182
312,5682,7190
313,5674,7183
314,5682,7190
315,5682,7183
316,5682,7190
317,5664,7183
318,5682,7190
319,5716,7183
320,5745,7190
321,5716,7183
322,5682,7190
323,5663,7183
324,5682,7190
325,5683,7183
326,5682,7190
327,5673,7183
328,5682,7190
329,5676,7182
330,5682,7190
331,5696,7185
332,5745,7190
333,5783,7180
334,5808,7190
335,5800,7188
336,5808,7190
337,5826,7174
338,5871,7190
339,5903,7199
340,5935,7190
341,5938,7129
342,5935,7092
343,5917,7078
344,5935,7092
345,5964,7077
346,5998,7092
347,5995,7130
348,5998,7190
349,5998,7197
350,5998,7190
351,5960,7177
352,5935,7190
353,5924,7184
354,5935,7190
355,5909,7186
356,5871,7190
357,5826,7172
358,5808,7190
359,5777,7231
360,5745,7289
361,5699,7296
362,5682,7289
363,5672,7273
364,5682,7289
365,5678,7287
366,5682,7289
367,5675,7276
368,5682,7289
369,5676,7287
370,5682,7289
371,5676,7273
372,5682,7289
373,5674,7293
374,5682,7289
375,5696,7261
376,5745,7289
377,5784,7344
378,5808,7387
379,5798,7343
380,5808,7289
381,5832,7262
382,5871,7289
383,5875,7291
384,5871,7289
385,5861,7275
386,5871,7289
387,5869,7284
388,5871,7289
389,5864,7281
390,5871,7289
391,5867,7279
392,5871,7289
393,5865,7287
394,5871,7289
395,5866,7269
396,5871,7289
397,5865,7330
398,5871,7387
399,5866,7393
400,5871,7387
401,5865,7373
402,5871,7387
403,5866,7384
404,5871,7387
405,5865,7377
406,5871,7387
407,5866,7381
408,5871,7387
409,5864,7378
410,5871,7387
411,5867,7381
412,5871,7387
413,5863,7379
414,5871,7387
415,5871,7381
416,5871,7387
417,5839,7379
418,5808,7387
419,5785,7381
420,5808,7387
421,5839,7378
422,5871,7387
423,5869,7383
424,5871,7387
425,5865,7372
426,5871,7387
427,5863,7419
428,5871,7486
429,5873,7509
430,5871,7486
431,5835,7415
432,5808,7387
433,5793,7382
434,5808,7387
435,5807,7362
436,5808,7387
437,5800,7442
438,5808,7486
439,5804,7439
440,5808,7387
441,5801,7365
442,5808,7387
443,5803,7378
444,5808,7387
445,5802,7422
446,5808,7486
447,5802,7496
448,5808,7486
449,5803,7468
450,5808,7486
451,5800,7484
452,5808,7486
453,5807,7474
454,5808,7486
455,5778,7480
456,5745,7486
457,5701,7477
458,5682,7486
459,5669,7479
460,5682,7486
461,5682,7478
462,5682,7486
463,5667,7478
464,5682,7486
465,5709,7478
466,5745,7486
467,5747,7478
468,5745,7486
469,5736,7478
470,5745,7486
471,5740,7478
472,5745,7486
473,5740,7478
474,5745,7486
475,5736,7478
476,5745,7486
477,5747,7478
478,5745,7486
479,5708,7478
480,5682,7486
481,5667,7478
482,5682,7486
483,5682,7478
484,5682,7486
485,5671,7478
486,5682,7486
487,5699,7478
488,5745,7486
489,5783,7478
490,5808,7486
491,5783,7478
492,5745,7486
493,5699,7478
494,5682,7486
495,5671,7478
496,5682,7486
497,5681,7478
498,5682,7486
499,5667,7478
500,5682,7486
501,5708,7478
502,5745,7486
503,5747,7478
504,5745,7486
505,5736,7478
506,5745,7486
507,5741,7478
508,5745,7486
509,5739,7478
510,5745,7486
511,5738,7478
512,5745,7486
513,5743,7478
514,5745,7486
515,5732,7478
516,5745,7486
517,5770,7478
518,5808,7486
519,5812,7478
520,5808,7486
521,5796,7478
522,5808,7486
523,5808,7478
524,5808,7486
525,5796,7477
526,5808,7486
527,5812,7479
528,5808,7486
529,5771,7476
530,5745,7486
531,5731,7481
532,5745,7486
533,5744,7474
534,5745,7486
535,5735,7485
536,5745,7486
537,5742,7465
538,5745,7486
539,5735,7527
540,5745,7584
541,5746,7590
542,5745,7584
543,5711,7570
544,5682,7584
545,5662,7581
546,5682,7584
547,5690,7573
548,5682,7584
549,5653,7580
550,5682,7584
551,5762,7573
552,5871,7584
553,5940,7581
554,5998,7584
555,6051,7571
556,6124,7584
557,6164,7586
558,6187,7584
559,6183,7562
560,6187,7584
561,6179,7604
562,6187,7584
563,6185,7475
564,6187,7387
565,6173,7360
566,6187,7387
567,6213,7356
568,6250,7289
569,6254,7212
570,6250,7190
571,6223,7178
572,6187,7190
573,6118,7187
574,6061,7190
575,6014,7173
576,5998,7190
577,5983,7225
578,5998,7289
579,6008,7330
580,5998,7387
581,5916,7435
582,5808,7486
583,5695,7488
584,5619,7486
585,5544,7473
586,5493,7486
587,5444,7481
588,5430,7486
589,5416,7479
590,5430,7486
591,5426,7480
592,5430,7486
593,5412,7484
594,5430,7486
595,5453,7476
596,5493,7486
597,5495,7490
598,5493,7486
599,5496,7462
600,5556,7486
601,5640,7535
602,5745,7584
603,5864,7581
604,6061,7584
605,6333,7551
606,6692,7387
607,7164,6936
608,7829,6205
609,8603,5209
610,9344,4038
611,9970,2802
612,10543,1773
613,10923,1111
614,10796,886
615,9980,1038
616,8776,1576
617,7607,2348
618,6692,3152
619,5972,3787
620,5430,4334
621,5037,4870
622,4735,5417
623,4423,5854
624,4167,6205
625,4036,6500
626,4041,6796
627,4068,7040
628,4104,7289
629,4149,7583
630,4230,7978
631,4276,8365
632,4293,8668
633,4276,8838
634,4293,8963
635,4318,9070
636,4356,9160
637,4357,9176
638,4356,9160
639,4347,9142
640,4356,9160
641,4353,9162
642,4356,9160
643,4352,9145
644,4356,9160
645,4348,9160
646,4356,9160
647,4375,9142
648,4419,9160
649,4454,9168
650,4483,9160
651,4484,9099
652,4483,9062
653,4472,9044
654,4483,9062
655,4485,9052
656,4483,9062
657,4466,9062
658,4483,9062
659,4515,9004
660,4546,8963
661,4540,8941
662,4546,8963
663,4570,8958
664,4609,8963
665,4611,8954
666,4609,8963
667,4621,8948
668,4672,8963
669,4711,8968
670,4735,8963
671,4732,8902
672,4735,8865
673,4730,8848
674,4735,8865
675,4730,8849
676,4735,8865
677,4730,8900
678,4735,8963
679,4730,8970
680,4735,8963
681,4730,8945
682,4735,8963
683,4730,8959
684,4735,8963
685,4730,8951
686,4735,8963
687,4730,8955
688,4735,8963
689,4730,8954
690,4735,8963
691,4731,8953
692,4735,8963
693,4727,8956
694,4735,8963
695,4751,8949
696,4798,8963
697,4837,8962
698,4861,8963
699,4853,8938
700,4861,8963
701,4884,9007
702,4924,9062
703,4931,9060
704,4924,9062
705,4908,9055
706,4924,9062
707,4947,9039
708,4988,9062
709,5015,9106
710,5051,9160
711,5072,9152
712,5114,9160
713,5160,9193
714,5240,9259
715,5326,9267
716,5430,9259
717,5501,9242
718,5556,9259
719,5593,9253
720,5682,9259
721,5799,9253
722,5935,9259
723,6046,9216
724,6187,9160
725,6343,9091
726,6503,9062
727,6619,9019
728,6755,8963
729,6926,8859
730,7134,8766
731,7301,8665
732,7450,8569
733,7591,8422
734,7765,8274
735,7928,8141
736,8081,8077
737,8189,7998
738,8271,7880
739,8303,7705
740,8334,7584
741,8357,7518
742,8397,7486
743,8407,7392
744,8397,7289
745,8341,7206
746,8271,7190
747,8156,7153
748,8018,7092
749,7848,7010
750,7702,6993
751,7566,6998
752,7450,6993
753,7315,6931
754,7197,6895
755,7070,6885
756,6945,6895
757,6799,6846
758,6692,6796
759,6598,6769
760,6503,6796
761,6360,6801
762,6250,6796
763,6193,6780
764,6187,6796
765,6138,6798
766,6061,6796
767,5972,6776
768,5935,6796
769,5903,6835
770,5871,6895
771,5803,6907
772,5745,6895
773,5693,6867
774,5682,6895
775,5674,6942
776,5682,6993
777,5676,6994
778,5682,6993
779,5676,6985
780,5682,6993
781,5676,6983
782,5682,6993
783,5676,6993
784,5682,6993
785,5676,6970
786,5682,6993
787,5676,7041
788,5682,7092
789,5676,7085
790,5682,7092
791,5676,7127
792,5682,7190
793,5676,7200
794,5682,7190
795,5676,7173
796,5682,7190
797,5676,7189
798,5682,7190
799,5676,7179
800,5682,7190
801,5677,7185
802,5682,7190
803,5675,7181
804,5682,7190
805,5678,7184
806,5682,7190
807,5674,7181
808,5682,7190
809,5682,7185
810,5682,7190
811,5649,7180
812,5619,7190
813,5596,7187
814,5619,7190
815,5649,7176
816,5682,7190
817,5682,7196
818,5682,7190
819,5673,7134
820,5682,7092
821,5678,7071
822,5682,7092
823,5675,7091
824,5682,7092
825,5678,7080
826,5682,7092
827,5675,7087
828,5682,7092
829,5678,7082
830,5682,7092
831,5674,7086
832,5682,7092
833,5682,7082
834,5682,7092
835,5649,7087
836,5619,7092
837,5598,7080
838,5619,7092
839,5632,7091
