TIMESTAMP,II,V
0,-263,471
1,-287,519
2,-258,476
3,-275,498
4,-278,492
5,-274,475
6,-267,461
7,-265,467
8,-262,480
9,-254,490
10,-244,496
11,-237,501
12,-229,497
13,-219,485
14,-208,468
15,-198,453
16,-186,438
17,-172,425
18,-156,414
19,-139,407
20,-121,402
21,-103,397
22,-84,388
23,-63,373
24,-40,350
25,-18,322
26,4,294
27,25,271
28,46,252
29,66,230
30,87,201
31,107,162
32,130,119
33,152,79
34,176,50
35,199,33
36,219,21
37,234,7
38,246,-12
39,253,-36
40,263,-59
41,272,-74
42,285,-80
43,298,-79
44,313,-73
45,330,-63
46,352,-53
47,378,-43
48,410,-28
49,446,-7
50,484,18
51,519,37
52,548,44
53,572,32
54,591,-3
55,609,-64
56,629,-144
57,654,-236
58,685,-331
59,717,-419
60,745,-489
61,762,-535
62,764,-556
63,752,-559
64,728,-550
65,696,-534
66,660,-511
67,618,-481
68,572,-439
69,522,-385
70,471,-322
71,422,-257
72,382,-198
73,351,-149
74,330,-114
75,314,-95
76,303,-91
77,294,-96
78,288,-105
79,283,-112
80,280,-113
81,282,-108
82,286,-97
83,294,-84
84,306,-65
85,323,-41
86,342,-12
87,361,12
88,376,22
89,384,9
90,390,-28
91,397,-79
92,413,-136
93,436,-190
94,454,-236
95,438,-270
96,359,-280
97,200,-253
98,-33,-169
99,-313,-19
100,-599,194
101,-855,452
102,-1056,724
103,-1192,973
104,-1251,1161
105,-1226,1258
106,-1115,1252
107,-928,1156
108,-693,993
109,-447,797
110,-224,601
111,-46,427
112,85,287
113,179,187
114,251,122
115,305,85
116,345,59
117,366,35
118,373,9
119,367,-12
120,363,-20
121,365,-12
122,375,4
123,393,13
124,406,8
125,412,-17
126,405,-47
127,394,-81
128,379,-104
129,372,-125
130,370,-140
131,376,-159
132,387,-176
133,400,-194
134,417,-212
135,435,-234
136,455,-261
137,474,-292
138,493,-319
139,509,-336
140,524,-337
141,534,-319
142,543,-283
143,548,-234
144,550,-178
145,546,-127
146,539,-89
147,530,-72
148,522,-76
149,515,-91
150,511,-108
151,507,-118
152,503,-118
153,497,-109
154,489,-97
155,480,-87
156,471,-79
157,462,-76
158,456,-80
159,450,-94
160,445,-115
161,436,-133
162,428,-140
163,416,-131
164,407,-109
165,395,-80
166,387,-58
167,375,-53
168,364,-61
169,349,-72
170,335,-76
171,320,-69
172,311,-53
173,303,-35
174,300,-29
175,299,-37
176,301,-56
177,303,-78
178,307,-96
179,310,-108
180,316,-113
181,320,-113
182,326,-112
183,332,-112
184,341,-116
185,348,-125
186,356,-141
187,361,-161
188,365,-182
189,364,-197
190,365,-204
191,367,-199
192,373,-184
193,379,-165
194,385,-151
195,388,-147
196,389,-163
197,386,-196
198,385,-243
199,383,-284
200,385,-310
201,388,-308
202,398,-281
203,413,-232
204,437,-178
205,461,-129
206,487,-98
207,509,-85
208,527,-91
209,539,-110
210,550,-143
211,558,-186
212,571,-244
213,590,-316
214,620,-395
215,656,-471
216,697,-535
217,728,-578
218,744,-599
219,735,-601
220,705,-591
221,658,-572
222,603,-549
223,544,-519
224,484,-482
225,425,-438
226,371,-388
227,321,-334
228,280,-283
229,245,-238
230,217,-199
231,190,-162
232,167,-128
233,147,-96
234,132,-68
235,123,-48
236,114,-38
237,108,-42
238,97,-54
239,87,-75
240,76,-95
241,72,-114
242,73,-121
243,87,-119
244,108,-106
245,131,-89
246,155,-73
247,175,-61
248,196,-59
249,214,-71
250,222,-96
251,199,-126
252,122,-144
253,-28,-127
254,-247,-57
255,-513,74
256,-789,263
257,-1040,496
258,-1242,751
259,-1377,1002
260,-1437,1217
261,-1414,1364
262,-1304,1413
263,-1120,1352
264,-889,1191
265,-648,962
266,-431,711
267,-259,483
268,-134,313
269,-49,213
270,9,172
271,50,166
272,82,167
273,105,158
274,126,135
275,141,108
276,155,84
277,166,70
278,176,63
279,184,61
280,191,58
281,198,52
282,204,44
283,213,35
284,222,25
285,235,10
286,249,-2
287,263,-8
288,276,-6
289,286,-2
290,297,-4
291,308,-21
292,322,-57
293,335,-111
294,349,-168
295,358,-214
296,366,-239
297,370,-242
298,373,-225
299,375,-196
300,376,-166
301,375,-144
302,373,-131
303,366,-125
304,357,-125
305,347,-124
306,337,-116
307,328,-95
308,320,-66
309,311,-35
310,303,-8
311,296,11
312,291,23
313,286,29
314,284,36
315,283,45
316,281,56
317,276,63
318,268,64
319,257,60
320,244,47
321,231,28
322,220,6
323,209,-11
324,200,-22
325,190,-25
326,180,-23
327,170,-15
328,165,-6
329,161,1
330,162,4
331,164,6
332,168,3
333,169,-3
334,171,-9
335,171,-10
336,175,-7
337,180,0
338,189,9
339,200,17
340,213,21
341,224,16
342,233,-3
343,237,-35
344,238,-79
345,234,-127
346,231,-168
347,228,-191
348,231,-195
349,235,-188
350,243,-179
351,251,-176
352,259,-183
353,265,-197
354,271,-211
355,274,-217
356,278,-218
357,281,-212
358,285,-205
359,292,-193
360,305,-176
361,326,-151
362,352,-118
363,382,-81
364,413,-50
365,440,-35
366,461,-40
367,476,-63
368,487,-101
369,498,-149
370,512,-202
371,533,-256
372,559,-308
373,587,-358
374,610,-404
375,620,-442
376,615,-479
377,595,-511
378,566,-537
379,527,-543
380,485,-526
381,439,-483
382,391,-424
383,338,-356
384,287,-292
385,239,-235
386,199,-183
387,167,-127
388,144,-69
389,128,-18
390,119,13
391,116,13
392,117,-23
393,122,-89
394,126,-168
395,132,-243
396,135,-298
397,139,-330
398,143,-338
399,151,-330
400,166,-309
401,185,-281
402,211,-248
403,236,-213
404,261,-186
405,284,-174
406,307,-190
407,324,-235
408,321,-300
409,272,-358
410,153,-381
411,-44,-345
412,-303,-238
413,-594,-58
414,-873,177
415,-1109,447
416,-1280,720
417,-1376,963
418,-1389,1132
419,-1318,1197
420,-1166,1144
421,-956,997
422,-718,792
423,-490,583
424,-296,405
425,-148,278
426,-43,194
427,27,136
428,76,88
429,107,44
430,128,4
431,141,-25
432,151,-42
433,155,-42
434,155,-35
435,149,-25
436,138,-15
437,125,-2
438,108,12
439,92,28
440,72,47
441,53,62
442,32,77
443,16,85
444,4,93
445,-1,99
446,-1,102
447,1,95
448,1,80
449,-5,59
450,-17,40
451,-32,23
452,-47,15
453,-60,13
454,-70,17
455,-79,24
456,-93,40
457,-115,65
458,-144,104
459,-175,150
460,-203,198
461,-222,240
462,-231,270
463,-234,286
464,-237,293
465,-243,294
466,-253,297
467,-267,306
468,-284,322
469,-303,337
470,-324,348
471,-340,349
472,-348,342
473,-342,329
474,-325,319
475,-302,315
476,-281,314
477,-270,312
478,-269,307
479,-276,300
480,-285,295
481,-290,292
482,-289,293
483,-283,295
484,-271,296
