TIMESTAMP,II,V
0,4144,6233
1,6010,5956
2,3937,6425
3,1400,7858
4,4040,6233
5,8186,3175
6,3937,6425
7,-6952,14852
8,-9013,15344
9,4051,2729
10,17404,-9110
11,15899,-6532
12,5180,4507
13,283,9553
14,3315,6809
15,5310,4893
16,3108,6809
17,1539,8046
18,2693,6809
19,3492,5966
20,2486,6713
21,1574,7245
22,1761,6905
23,1996,6727
24,1761,7001
25,1575,7026
26,1657,6809
27,1703,6757
28,1657,6809
29,1657,6646
30,1761,6425
31,1965,6280
32,2175,6138
33,2109,5973
34,1761,5946
35,1428,6008
36,1450,5946
37,1789,5697
38,2175,5658
39,2442,6043
40,2693,6617
41,2952,6986
42,3108,7192
43,3174,7370
44,3419,7480
45,3861,7389
46,4144,7288
47,4028,7344
48,3833,7480
49,3905,7461
50,4144,7384
51,4243,7443
52,4247,7672
53,4330,7814
54,4454,7768
55,4468,7621
56,4454,7576
57,4512,7623
58,4558,7672
59,4488,7626
60,4454,7576
61,4555,7586
62,4662,7672
63,4618,7706
64,4558,7672
65,4600,7596
66,4662,7576
67,4607,7575
68,4558,7576
69,4606,7553
70,4662,7576
71,4600,7596
72,4558,7576
73,4645,7494
74,4765,7480
75,4741,7532
76,4662,7576
77,4670,7520
78,4765,7480
79,4796,7483
80,4765,7480
81,4739,7401
82,4765,7384
83,4801,7447
84,4869,7480
85,4938,7369
86,4972,7288
87,4950,7323
88,4972,7384
89,5041,7328
90,5076,7288
91,5012,7337
92,4972,7384
93,5013,7285
94,5076,7192
95,5069,7215
96,5076,7288
97,5134,7249
98,5180,7192
99,5124,7189
100,5076,7192
101,5113,7085
102,5180,7001
103,5148,7023
104,5076,7097
105,5050,7064
106,5076,7001
107,5047,6980
108,4972,7001
109,4899,6953
110,4869,6905
111,4825,6918
112,4765,7001
113,4695,7024
114,4662,7001
115,4648,6971
116,4662,7001
117,4669,7013
118,4662,7001
119,4584,6968
120,4454,7001
121,4310,7058
122,4247,7097
123,4276,7049
124,4351,7001
125,4343,7008
126,4247,7097
127,4170,7139
128,4247,7097
129,4368,7003
130,4351,7001
131,4190,7059
132,4144,7097
133,4266,7040
134,4351,7001
135,4239,7001
136,4144,7001
137,4224,6930
138,4351,6905
139,4319,6951
140,4247,7001
141,4280,6948
142,4351,6905
143,4305,6934
144,4247,7001
145,4287,6996
146,4351,7001
147,4301,7048
148,4247,7097
149,4288,7046
150,4351,7001
151,4304,7026
152,4247,7097
153,4282,7073
154,4351,7001
155,4332,6988
156,4247,7001
157,4213,6940
158,4351,7001
159,4479,7126
160,4351,7001
161,4120,6773
162,4247,7097
163,4496,7526
164,4247,7001
165,3872,6224
166,4351,7001
167,4991,8153
168,4247,6905
169,3127,4933
170,4247,6809
171,6242,10210
172,4351,6905
173,-1351,-2860
174,-3833,-6809
175,832,1646
176,7044,12371
177,7822,13201
178,4558,7001
179,3084,4292
180,4454,6809
181,5252,8313
182,4351,6809
183,3710,5847
184,4144,6809
185,4441,7376
186,4144,6713
187,3938,6299
188,4040,6713
189,4023,6959
190,3937,6713
191,4031,6518
192,4144,6617
193,4031,6684
194,3937,6617
195,4050,6527
196,4144,6521
197,4026,6575
198,3937,6617
199,4037,6555
200,4144,6521
201,4070,6546
202,3937,6617
203,3923,6641
204,4144,6521
205,4292,6398
206,4040,6617
207,3757,6863
208,4144,6521
209,4592,6029
210,3937,6521
211,3131,7228
212,4144,6425
213,5463,5262
214,3937,6521
215,1762,8381
216,4144,6425
217,8024,3160
218,3937,6521
219,-6762,14914
