TIME,II,V
0,-1256,5476
1,-1444,6227
2,-1256,5521
3,-1100,5156
4,-1124,5566
5,-1152,5836
6,-1058,5611
7,-928,5399
8,-860,5476
9,-814,5545
10,-727,5476
11,-630,5454
12,-595,5566
13,-611,5657
14,-595,5656
15,-522,5620
16,-463,5611
17,-443,5591
18,-397,5521
19,-306,5375
20,-265,5207
21,-277,5087
22,-198,5072
23,16,5096
24,132,5117
25,-47,5081
26,-397,5027
27,-617,4974
28,-595,4982
29,-429,5023
30,-265,5072
31,-228,5081
32,-397,5072
33,-685,5051
34,-860,5027
35,-842,5004
36,-794,5027
37,-858,5104
38,-926,5207
39,-854,5270
40,-727,5297
41,-725,5286
42,-860,5297
43,-981,5371
44,-992,5566
45,-897,5761
46,-727,5790
47,-478,5536
48,-132,5072
49,359,4395
50,1058,3411
51,1970,2041
52,2910,539
53,3547,-683
54,3637,-1257
55,3267,-1139
56,2711,-449
57,2098,577
58,1323,1751
59,407,2864
60,-397,3815
61,-921,4533
62,-1323,5072
63,-1758,5469
64,-2116,5790
65,-2240,6023
66,-2248,6194
67,-2314,6296
68,-2381,6374
69,-2292,6418
70,-2116,6464
71,-2047,6500
72,-2116,6554
73,-2191,6591
74,-2182,6598
75,-2103,6547
76,-1984,6464
77,-1897,6390
78,-1918,6374
79,-2018,6393
80,-2050,6419
81,-1938,6414
82,-1786,6419
83,-1712,6433
84,-1719,6464
85,-1740,6452
86,-1786,6419
87,-1853,6374
88,-1852,6374
89,-1653,6390
90,-1323,6419
91,-1101,6404
92,-1190,6374
93,-1489,6330
94,-1719,6329
95,-1728,6346
96,-1653,6374
97,-1671,6345
98,-1786,6284
99,-1863,6219
100,-1852,6239
101,-1768,6318
102,-1653,6419
103,-1561,6458
104,-1587,6464
105,-1708,6437
106,-1786,6419
107,-1749,6394
108,-1719,6419
109,-1763,6464
110,-1786,6509
111,-1711,6489
112,-1653,6464
113,-1688,6458
114,-1719,6509
115,-1669,6566
116,-1653,6643
117,-1738,6686
118,-1786,6688
119,-1669,6640
120,-1521,6643
121,-1493,6700
122,-1521,6778
123,-1467,6800
124,-1389,6823
125,-1415,6849
126,-1521,6868
127,-1583,6832
128,-1587,6823
129,-1572,6857
130,-1521,6913
131,-1398,6912
132,-1256,6913
133,-1149,6933
134,-1058,6958
135,-964,6907
136,-926,6823
137,-963,6729
138,-992,6643
139,-925,6522
140,-794,6419
141,-662,6354
142,-529,6329
143,-358,6262
144,-198,6150
145,-140,5979
146,-198,5790
147,-268,5585
148,-265,5431
149,-227,5333
150,-265,5297
151,-361,5266
152,-397,5252
153,-311,5217
154,-198,5162
155,-127,5062
156,-66,4982
157,-5,4937
158,-66,4938
159,-309,4920
160,-595,4893
161,-736,4850
162,-727,4848
163,-665,4885
164,-595,4982
165,-526,5072
166,-529,5117
167,-643,5088
168,-794,5072
169,-882,5109
170,-926,5207
171,-982,5263
172,-1058,5252
173,-1141,5199
174,-1256,5207
175,-1372,5267
176,-1389,5342
177,-1284,5378
178,-1190,5431
179,-1217,5490
180,-1323,5521
181,-1423,5475
182,-1521,5431
183,-1608,5421
184,-1587,5431
185,-1386,5401
186,-1124,5386
187,-997,5412
188,-1058,5476
189,-1168,5516
190,-1190,5566
191,-1133,5611
192,-1124,5611
193,-1230,5496
194,-1389,5342
195,-1466,5225
196,-1389,5207
197,-1155,5246
198,-860,5342
199,-670,5434
200,-727,5476
201,-937,5406
202,-1058,5297
203,-1015,5225
204,-992,5252
205,-1077,5306
206,-1124,5342
207,-1059,5318
208,-1058,5297
209,-1180,5297
210,-1190,5342
211,-967,5362
212,-794,5342
213,-912,5266
214,-1124,5207
215,-1131,5179
216,-992,5207
217,-894,5259
218,-794,5342
219,-601,5394
220,-463,5386
221,-513,5306
222,-595,5252
223,-526,5265
224,-397,5342
225,-333,5398
226,-265,5431
227,-159,5421
228,-198,5386
229,-434,5324
230,-595,5297
231,-473,5286
232,-265,5252
233,-225,5128
234,-265,4982
235,-133,4874
236,132,4848
237,275,4855
238,198,4893
239,83,4924
240,66,4938
241,58,4881
242,-66,4803
243,-200,4757
244,-132,4803
245,83,4873
246,132,4893
247,-141,4840
248,-463,4803
249,-532,4840
250,-397,4938
251,-330,5020
252,-397,5072
253,-458,5096
254,-463,5117
255,-515,5117
256,-661,5162
257,-780,5307
258,-727,5566
259,-475,5761
260,-132,5701
261,177,5272
262,463,4578
263,930,3718
264,1786,2738
265,2954,1593
266,4034,404
267,4616,-578
268,4563,-1032
269,4012,-869
270,3174,-180
271,2252,795
272,1389,1885
273,630,2912
274,-66,3771
275,-667,4388
276,-1058,4848
277,-1193,5221
278,-1190,5566
279,-1148,5831
280,-1058,6015
281,-952,6093
282,-992,6105
283,-1240,6068
284,-1521,6060
285,-1629,6077
286,-1587,6105
287,-1556,6101
288,-1587,6105
289,-1646,6125
290,-1719,6150
291,-1834,6132
292,-1918,6105
293,-1854,6116
294,-1653,6194
295,-1493,6252
296,-1521,6239
297,-1649,6164
298,-1653,6150
299,-1452,6221
300,-1256,6329
301,-1304,6346
302,-1587,6284
303,-1858,6201
304,-1918,6194
305,-1757,6232
306,-1521,6284
307,-1367,6280
308,-1389,6239
309,-1527,6161
310,-1653,6105
311,-1689,6071
312,-1653,6105
313,-1519,6177
314,-1256,6284
315,-1006,6344
316,-1058,6329
317,-1466,6205
318,-1918,6060
319,-2067,5967
320,-1918,6015
321,-1669,6145
322,-1455,6284
323,-1318,6331
324,-1323,6329
325,-1424,6322
326,-1455,6374
327,-1355,6430
328,-1323,6464
329,-1484,6437
330,-1653,6419
331,-1562,6432
332,-1256,6509
333,-1019,6587
334,-1058,6643
335,-1348,6618
336,-1719,6554
337,-1938,6498
338,-1852,6554
339,-1547,6684
340,-1323,6823
341,-1370,6871
342,-1587,6868
343,-1713,6840
344,-1653,6823
345,-1527,6775
346,-1455,6733
347,-1373,6712
348,-1190,6733
349,-999,6716
350,-992,6643
351,-1110,6527
352,-1058,6464
353,-725,6442
354,-397,6419
355,-327,6319
356,-397,6194
357,-365,6072
358,-265,5970
359,-253,5825
360,-331,5656
361,-395,5477
362,-463,5342
363,-559,5230
364,-595,5162
365,-519,5104
366,-463,5072
367,-507,5049
368,-529,5072
369,-420,5102
370,-331,5117
371,-444,5068
372,-661,5027
373,-695,5047
374,-463,5162
375,-196,5257
376,-198,5252
377,-534,5118
378,-992,4982
379,-1261,4927
380,-1190,4982
381,-886,5058
382,-595,5117
383,-476,5140
384,-529,5162
385,-692,5139
386,-926,5072
387,-1155,4996
388,-1256,5027
389,-1153,5144
390,-926,5252
391,-746,5249
392,-727,5207
393,-827,5186
394,-926,5207
395,-934,5217
396,-860,5252
397,-765,5304
398,-727,5342
399,-805,5289
400,-992,5207
401,-1166,5152
402,-1190,5162
403,-1063,5177
404,-926,5207
405,-838,5257
406,-727,5342
407,-591,5379
408,-595,5342
409,-809,5237
410,-1058,5162
411,-1151,5138
412,-1124,5162
413,-1059,5178
414,-926,5207
415,-734,5244
416,-661,5297
417,-783,5321
418,-926,5342
419,-951,5359
420,-992,5386
421,-1149,5362
422,-1256,5297
423,-1156,5217
424,-992,5207
425,-954,5245
426,-992,5297
427,-985,5297
428,-992,5297
429,-1057,5321
430,-1058,5386
431,-943,5414
432,-926,5386
433,-1143,5306
434,-1389,5252
435,-1386,5242
436,-1190,5297
437,-1035,5362
438,-992,5431
439,-964,5477
440,-926,5521
441,-918,5532
442,-926,5521
443,-882,5494
444,-794,5521
445,-710,5590
446,-661,5656
447,-639,5615
448,-661,5476
449,-730,5290
450,-794,5162
451,-750,5094
452,-595,5072
453,-470,5029
454,-529,4982
455,-708,4950
456,-794,4982
457,-722,5033
458,-661,5072
459,-703,5070
460,-727,5072
461,-664,5076
462,-661,5072
463,-831,5051
464,-992,5072
465,-949,5179
466,-794,5342
467,-776,5431
468,-926,5386
469,-1072,5261
470,-1124,5207
471,-1151,5244
472,-1190,5342
473,-1131,5487
474,-860,5746
475,-418,5957
476,0,5835
477,263,5218
478,463,4309
479,887,3282
480,1719,2110
481,2817,709
482,3769,-628
483,4241,-1464
484,4166,-1526
485,3695,-943
486,2976,45
487,2113,1165
488,1190,2244
489,321,3149
490,-397,3905
491,-879,4534
492,-1124,5072
493,-1222,5482
494,-1323,5790
495,-1469,5997
496,-1587,6150
497,-1605,6246
498,-1587,6329
499,-1644,6369
500,-1786,6374
501,-1888,6340
502,-1852,6329
503,-1730,6347
504,-1653,6374
505,-1675,6349
506,-1719,6284
507,-1749,6227
508,-1786,6239
509,-1804,6288
510,-1719,6329
511,-1582,6310
512,-1587,6284
513,-1754,6281
514,-1852,6329
515,-1733,6366
516,-1587,6374
517,-1611,6315
518,-1719,6239
519,-1738,6176
520,-1719,6194
521,-1760,6246
522,-1786,6284
523,-1693,6257
524,-1587,6239
525,-1574,6249
526,-1587,6284
527,-1537,6283
528,-1521,6284
529,-1600,6283
530,-1653,6284
531,-1581,6249
532,-1521,6239
533,-1583,6253
534,-1653,6284
535,-1598,6276
536,-1521,6284
537,-1545,6316
538,-1587,6374
539,-1494,6393
540,-1323,6419
541,-1230,6468
542,-1256,6554
543,-1320,6583
544,-1389,6554
545,-1450,6495
546,-1455,6509
547,-1359,6573
548,-1256,6643
549,-1285,6634
550,-1455,6598
551,-1587,6593
552,-1521,6688
553,-1297,6813
554,-1124,6913
555,-1111,6941
556,-1190,6958
557,-1278,6960
558,-1389,6958
559,-1489,6935
560,-1455,6958
561,-1283,6996
562,-1190,7002
563,-1302,6916
564,-1455,6823
565,-1430,6775
566,-1256,6778
567,-1077,6734
568,-926,6643
569,-786,6521
570,-727,6419
571,-756,6303
572,-727,6194
573,-557,6089
574,-397,6015
575,-376,5917
576,-397,5790
577,-315,5632
578,-198,5521
579,-182,5447
580,-265,5386
581,-375,5274
582,-529,5162
583,-710,5082
584,-794,5072
585,-713,5070
586,-595,5072
587,-552,5061
588,-529,5072
589,-466,5074
590,-463,5072
591,-589,5029
592,-727,4982
593,-749,4951
594,-727,4982
595,-780,5019
596,-860,5027
597,-839,4986
598,-727,4982
599,-630,5022
600,-595,5072
601,-607,5056
602,-661,5027
603,-726,5038
604,-727,5117
605,-650,5170
606,-595,5162
607,-626,5110
608,-661,5117
609,-580,5179
610,-397,5252
611,-236,5265
612,-198,5252
613,-287,5214
614,-463,5162
615,-673,5089
616,-860,5072
617,-953,5111
618,-926,5162
619,-823,5159
620,-727,5162
621,-659,5185
622,-595,5207
623,-540,5173
624,-529,5162
625,-509,5214
626,-397,5297
627,-267,5290
628,-331,5207
629,-617,5105
630,-860,5072
631,-821,5092
632,-595,5162
633,-430,5222
634,-397,5252
635,-394,5213
636,-397,5162
637,-485,5131
638,-661,5162
639,-780,5209
640,-727,5252
641,-565,5243
642,-463,5207
643,-484,5158
644,-529,5162
645,-486,5201
646,-397,5252
647,-379,5246
648,-463,5207
649,-561,5157
650,-595,5162
651,-551,5224
652,-463,5342
653,-379,5421
654,-331,5431
655,-265,5410
656,-132,5476
657,-31,5565
658,-132,5521
659,-386,5263
660,-529,4982
661,-462,4845
662,-397,4848
663,-473,4836
664,-529,4803
665,-405,4794
666,-265,4848
667,-331,4882
668,-529,4893
669,-625,4896
670,-595,4938
671,-594,4984
672,-661,5027
673,-702,5053
674,-661,5072
675,-608,5074
676,-595,5072
677,-644,5078
678,-727,5117
679,-795,5166
680,-794,5207
681,-760,5189
682,-794,5162
683,-909,5216
684,-992,5431
685,-907,5649
686,-661,5656
687,-366,5369
688,-66,4938
689,380,4345
690,1124,3411
691,2112,2032
692,3108,494
693,3981,-870
694,4695,-1840
695,5070,-2267
696,4761,-1885
697,3736,-728
698,2447,763
699,1400,2028
700,661,2963
701,51,3727
