TIME,II,V
0,0,505
1,9,452
2,15,291
3,18,250
4,19,188
5,17,131
6,15,82
7,13,48
8,12,21
9,11,1
10,11,-11
11,11,-12
12,13,-2
13,16,17
14,18,33
15,19,34
16,17,10
17,15,-32
18,14,-76
19,16,-95
20,19,-73
21,22,-14
22,23,59
23,22,115
24,20,130
25,17,103
26,14,57
27,9,24
28,3,24
29,-3,56
30,-7,96
31,-9,112
32,-9,87
33,-8,23
34,-7,-52
35,-4,-101
36,-1,-97
37,2,-39
38,4,37
39,4,93
40,2,94
41,-1,51
42,-3,-10
43,-3,-52
44,-1,-68
45,3,-70
46,7,-82
47,13,-109
48,19,-128
49,23,-108
50,23,-35
51,20,69
52,14,154
53,12,168
54,20,96
55,43,-42
56,83,-200
57,130,-336
58,166,-429
59,174,-472
60,139,-474
61,64,-448
62,-30,-402
63,-117,-345
64,-174,-280
65,-194,-194
66,-183,-97
67,-161,15
68,-136,114
69,-116,188
70,-92,225
71,-66,246
72,-34,266
73,-8,311
74,11,368
75,14,424
76,15,445
77,14,441
78,26,419
79,42,410
80,68,384
81,94,308
82,135,99
83,193,-256
84,292,-745
85,428,-1264
86,601,-1725
87,782,-2040
88,957,-2213
89,1099,-2271
90,1208,-2280
91,1284,-2282
92,1343,-2293
93,1396,-2309
94,1450,-2323
95,1507,-2329
96,1560,-2330
97,1605,-2332
98,1637,-2336
99,1661,-2341
100,1682,-2344
101,1709,-2345
102,1745,-2342
103,1789,-2347
104,1839,-2355
105,1895,-2363
106,1950,-2329
107,1986,-2211
108,1969,-1971
109,1858,-1607
110,1627,-1176
111,1287,-757
112,891,-432
113,518,-238
114,235,-171
115,72,-192
116,14,-259
117,15,-338
118,34,-404
119,42,-427
120,42,-388
121,33,-273
122,29,-112
123,22,58
124,18,179
125,7,228
126,1,189
127,-8,92
128,-8,-49
129,-13,-185
130,-12,-299
131,-18,-340
132,-17,-293
133,-20,-148
134,-18,62
135,-19,285
136,-22,461
137,-26,552
138,-29,557
139,-30,506
140,-28,447
141,-25,417
142,-22,423
143,-19,448
144,-15,451
145,-11,401
146,-6,290
147,0,141
148,5,-1
149,9,-105
150,13,-155
151,18,-173
152,23,-183
153,28,-203
154,30,-228
155,32,-233
156,33,-204
157,32,-137
158,30,-48
159,27,33
160,21,82
161,14,82
162,7,35
163,4,-40
164,3,-118
165,5,-166
166,8,-167
167,13,-112
168,18,-17
169,20,90
170,20,171
171,16,200
172,10,164
173,4,78
174,0,-30
175,1,-118
176,6,-155
177,11,-126
178,14,-47
179,15,48
180,15,109
181,14,101
182,14,14
183,12,-134
184,10,-294
185,6,-416
186,0,-461
187,-5,-423
188,-6,-335
189,2,-244
190,22,-197
