TIMESTAMP,II,V
0,2190,12834
1,2499,14557
2,2224,12834
3,2043,11856
4,2123,12682
5,2217,13379
6,2359,13446
7,2774,14193
8,3404,16043
9,3972,17898
10,4381,19099
11,4613,19762
12,4516,19863
13,3987,19062
14,3269,17571
15,2712,15968
16,2426,14668
17,2288,13709
18,2224,13140
19,2243,12933
20,2325,12987
21,2384,13079
22,2393,13140
23,2369,13115
24,2359,13140
25,2356,13200
26,2359,13293
27,2356,13301
28,2359,13293
29,2358,13266
30,2359,13293
31,2351,13282
32,2359,13293
33,2372,13272
34,2393,13293
35,2393,13278
36,2393,13293
37,2399,13280
38,2426,13293
39,2448,13275
40,2460,13293
41,2457,13286
42,2460,13293
43,2461,13266
44,2460,13293
45,2441,13303
46,2426,13293
47,2418,13196
48,2426,13140
49,2428,13115
50,2426,13140
51,2419,13116
52,2426,13140
53,2438,13194
54,2460,13293
55,2484,13306
56,2527,13293
57,2569,13256
58,2595,13293
59,2590,13342
60,2595,13446
61,2620,13525
62,2662,13598
63,2685,13587
64,2696,13598
65,2704,13675
66,2730,13904
67,2759,14112
68,2797,14209
69,2831,14166
70,2864,14209
71,2882,14352
72,2898,14515
73,2910,14526
74,2932,14515
75,2948,14552
76,2966,14668
77,2978,14692
78,2999,14668
79,3008,14628
80,2999,14668
81,2964,14676
82,2932,14668
83,2899,14635
84,2864,14668
85,2810,14641
86,2763,14515
87,2735,14297
88,2730,14209
89,2716,14219
90,2696,14209
91,2671,14037
92,2662,13904
93,2649,13879
94,2629,13904
95,2600,13770
96,2595,13598
97,2600,13476
98,2595,13446
99,2550,13361
100,2494,13293
101,2448,13220
102,2426,13140
103,2397,12959
104,2359,12834
105,2317,12800
106,2292,12834
107,2262,12764
108,2224,12682
109,2178,12635
110,2157,12682
111,2145,12685
112,2123,12682
113,2069,12657
114,2022,12682
115,2006,12674
116,2022,12682
117,2028,12665
118,2022,12682
119,2013,12669
120,2022,12682
121,2026,12669
122,2022,12682
123,2011,12665
124,2022,12682
125,2041,12675
126,2056,12682
127,2051,12655
128,2056,12682
129,2073,12734
130,2089,12834
131,2076,12862
132,2056,12834
133,2045,12733
134,2056,12682
135,2059,12656
136,2056,12682
137,2049,12672
138,2056,12682
139,2058,12668
140,2056,12682
141,2047,12665
142,2056,12682
143,2071,12675
144,2089,12682
145,2089,12651
146,2089,12682
147,2096,12740
148,2123,12834
149,2145,12847
150,2157,12834
151,2153,12802
152,2157,12834
153,2166,12841
154,2190,12834
155,2226,12789
156,2292,12834
157,2374,12950
158,2460,13140
159,2529,13289
160,2595,13446
161,2652,13584
162,2696,13751
163,2714,13852
164,2730,13904
165,2740,13846
166,2730,13751
167,2671,13628
168,2595,13598
169,2531,13601
170,2494,13598
171,2450,13466
172,2393,13293
173,2321,13104
174,2258,12987
175,2200,12879
176,2157,12834
177,2126,12808
178,2123,12834
179,2126,12827
180,2123,12834
181,2102,12817
182,2089,12834
183,2086,12823
