TIMESTAMP,II,V
0,2191,9954
1,2444,11371
2,2152,10108
3,2053,9362
4,2271,9954
5,2412,10336
6,2391,9954
7,2419,9696
8,2510,9954
9,2475,10114
10,2351,9954
11,2337,9843
12,2470,9954
13,2592,10017
14,2630,9954
15,2625,9897
16,2630,9954
17,2649,10059
18,2709,10185
19,2804,10263
20,2909,10262
21,3019,10180
22,3187,10108
23,3381,9981
24,3506,9799
25,3497,9599
26,3426,9568
27,3360,9660
28,3307,9722
29,3253,9591
30,3267,9414
31,3356,9295
32,3426,9259
33,3370,9198
34,3227,9182
35,3063,9193
36,2909,9182
37,2779,9067
38,2749,9028
39,2789,9139
40,2789,9336
41,2717,9411
42,2709,9414
43,2789,9419
44,2789,9491
45,2584,9531
46,2351,9568
47,2295,9576
48,2391,9568
49,2424,9504
50,2351,9491
51,2281,9516
52,2311,9568
53,2372,9600
54,2391,9722
55,2336,9878
56,2271,9954
57,2242,9837
58,2271,9722
59,2260,9763
60,2152,9954
61,1979,10041
62,1912,9954
63,2008,9783
64,2191,9722
65,2322,9731
66,2391,9722
67,2432,9670
68,2470,9722
69,2464,9862
70,2430,9954
71,2420,9871
72,2470,9799
73,2532,9845
74,2630,9954
75,2925,9927
76,3626,9799
77,4679,9546
78,5737,9105
79,6399,8404
80,6534,7639
81,6246,6854
82,5698,6018
83,4975,5176
84,4184,4630
85,3466,4294
86,2948,3858
87,2605,3378
88,2351,3627
89,2151,4946
90,2072,6713
91,2096,7956
92,2112,8565
93,2036,8945
94,1952,9336
95,1922,9542
96,1912,9568
97,1883,9539
98,1912,9568
99,1987,9560
100,1992,9568
101,1889,9617
102,1873,9722
103,1992,9777
104,2072,9799
105,1980,9777
106,1912,9722
107,2012,9596
108,2152,9491
109,2158,9477
110,2152,9568
111,2264,9574
112,2391,9414
113,2345,9206
114,2231,9259
115,2268,9508
116,2470,9645
117,2600,9467
118,2550,9259
119,2470,9218
120,2550,9259
121,2698,9173
122,2709,9105
123,2586,9142
124,2590,9182
125,2800,9052
126,2988,8951
127,2956,9001
128,2869,9105
129,2931,9060
130,3068,9028
131,3066,9122
132,2988,9259
133,3044,9228
134,3267,9182
135,3439,9300
136,3426,9568
137,3290,9696
138,3187,9645
139,3170,9542
140,3187,9568
141,3134,9630
142,2988,9645
143,2821,9572
144,2749,9568
145,2769,9660
146,2789,9799
147,2717,9812
148,2590,9722
149,2478,9600
150,2430,9568
151,2405,9564
152,2391,9568
153,2375,9543
154,2391,9568
155,2390,9634
156,2351,9722
157,2247,9745
158,2152,9722
159,2100,9688
160,2112,9722
161,2143,9772
162,2191,9799
163,2230,9748
164,2231,9722
165,2151,9773
166,2032,9954
167,1968,10152
168,2152,10339
169,2789,10440
170,3944,10417
171,5304,10035
172,6375,9105
173,6908,7543
174,7052,5710
175,6943,4128
176,6494,3241
177,5661,2954
178,4741,3009
179,4071,3299
180,3666,4089
181,3301,5394
182,2909,6867
183,2575,7997
184,2351,8719
185,2176,9187
186,2032,9568
187,1921,9784
188,1833,9877
189,1740,9901
190,1673,9954
191,1634,9920
192,1594,9799
193,1530,9667
194,1514,9722
195,1550,9877
196,1594,9954
197,1576,9857
198,1554,9799
199,1562,9872
200,1594,9954
201,1596,9876
202,1594,9799
203,1607,9880
204,1634,10108
205,1621,10284
206,1594,10417
207,1595,10489
208,1634,10494
209,1606,10404
210,1474,10417
211,1355,10545
212,1434,10648
213,1657,10545
214,1793,10417
215,1754,10407
216,1753,10494
217,1943,10457
218,2191,10339
219,2284,10244
220,2271,10262
221,2323,10273
222,2470,10262
223,2593,10231
224,2669,10262
225,2757,10279
226,2869,10262
227,2926,10173
228,2909,10108
229,2848,10033
230,2789,9954
231,2729,9839
232,2669,9799
233,2598,9781
234,2510,9722
235,2392,9583
236,2271,9568
237,2178,9706
238,2152,9877
239,2182,9870
240,2231,9799
241,2226,9786
242,2152,9877
243,2042,9923
244,1992,9954
245,2038,9998
246,2152,10108
247,2231,10191
