TIMESTAMP,II,V
0,2584,5634
1,2564,6688
2,1723,6331
3,1167,6203
4,1149,6710
5,1111,7013
6,804,6837
7,523,6694
8,459,6837
9,476,6948
10,459,6900
11,433,6871
12,402,6964
13,353,7033
14,345,7027
15,407,7003
16,459,7027
17,437,7062
18,402,7090
19,421,7090
20,459,7090
21,461,7086
22,459,7090
23,484,7071
24,517,7090
25,533,7140
26,574,7217
27,646,7250
28,689,7280
29,678,7305
30,689,7344
31,756,7344
32,804,7344
33,775,7332
34,747,7344
35,778,7354
36,804,7407
37,751,7454
38,689,7470
39,715,7406
40,804,7344
41,856,7316
42,861,7344
43,876,7349
44,919,7344
45,955,7325
46,976,7344
47,1000,7349
48,1034,7344
49,1062,7304
50,1091,7280
51,1123,7232
52,1149,7154
53,1152,7034
54,1149,6964
55,1163,6930
56,1206,6900
57,1250,6820
58,1263,6774
59,1223,6768
60,1149,6774
61,1075,6708
62,1034,6647
63,1010,6626
64,976,6647
65,919,6619
66,861,6584
67,823,6563
68,804,6584
69,793,6580
70,804,6584
71,848,6598
72,919,6647
73,972,6660
74,976,6647
75,925,6601
76,861,6584
77,832,6592
78,861,6647
79,910,6672
80,919,6647
81,867,6579
82,804,6584
83,780,6646
84,804,6710
85,838,6704
86,861,6710
87,866,6744
88,861,6774
89,852,6733
90,861,6710
91,905,6735
92,976,6774
93,1029,6722
94,1034,6647
95,998,6613
96,976,6647
97,992,6655
98,1034,6647
99,1067,6631
100,1091,6647
101,1117,6648
102,1149,6647
103,1162,6617
104,1149,6584
105,1133,6532
106,1149,6521
107,1168,6537
108,1149,6584
109,1100,6592
110,1091,6584
111,1130,6564
112,1149,6584
113,1098,6594
114,1034,6584
115,1002,6533
116,976,6521
117,914,6540
118,861,6584
119,872,6585
120,919,6584
121,916,6576
122,861,6584
123,822,6569
124,861,6584
125,930,6618
126,976,6647
127,959,6636
128,919,6647
129,880,6664
130,861,6647
131,850,6597
132,861,6647
133,893,6748
134,919,6774
135,890,6738
136,804,6900
137,696,7225
138,632,7470
139,714,7625
140,1091,8040
141,1869,8494
142,3044,8103
143,4452,6333
144,5743,3988
145,6423,2324
146,6202,1836
147,5340,2057
148,4479,2532
149,3961,3114
150,3561,3798
151,2971,4456
152,2297,5065
153,1817,5608
154,1551,6077
155,1321,6370
156,1091,6521
157,939,6581
158,861,6647
159,808,6704
160,804,6774
161,839,6826
162,804,6900
163,662,6948
164,574,6964
165,624,6922
166,689,6900
167,620,6900
168,517,6900
169,511,6875
170,574,6900
171,571,6969
172,517,7027
173,510,7014
174,574,7027
175,626,7089
176,632,7154
177,622,7125
178,632,7090
179,638,7099
180,632,7154
181,639,7173
182,689,7217
183,743,7284
184,747,7344
185,703,7328
186,689,7344
187,725,7425
188,747,7533
189,697,7549
190,632,7533
191,628,7539
192,689,7597
193,752,7627
194,804,7660
195,875,7689
196,976,7723
197,1055,7714
198,1091,7723
199,1122,7750
200,1206,7787
201,1315,7762
202,1378,7723
203,1375,7681
204,1378,7660
205,1435,7618
206,1493,7597
207,1466,7572
208,1378,7533
209,1343,7418
210,1436,7280
211,1597,7136
212,1723,7027
213,1770,6914
214,1780,6837
215,1774,6784
216,1723,6774
217,1611,6744
218,1493,6710
219,1403,6664
220,1321,6647
221,1220,6617
222,1149,6584
223,1135,6531
224,1149,6521
225,1142,6521
226,1149,6521
227,1183,6475
228,1206,6457
229,1178,6473
230,1149,6521
231,1151,6526
232,1149,6521
233,1092,6508
234,1034,6521
235,1035,6515
236,1091,6521
237,1132,6517
238,1149,6521
239,1166,6504
240,1206,6521
241,1255,6551
242,1321,6584
243,1404,6558
244,1493,6521
245,1562,6494
246,1608,6521
247,1625,6550
248,1608,6584
249,1554,6588
250,1493,6584
251,1452,6549
252,1436,6521
253,1414,6480
254,1378,6457
255,1338,6437
256,1321,6457
257,1320,6469
258,1321,6457
259,1314,6404
260,1321,6394
261,1335,6421
262,1321,6457
263,1246,6427
264,1149,6394
265,1087,6395
266,1091,6457
267,1126,6498
268,1149,6521
269,1129,6512
270,1091,6521
271,1085,6513
272,1149,6521
273,1212,6519
274,1206,6521
275,1125,6512
276,1091,6521
277,1140,6523
278,1206,6521
279,1178,6521
280,1091,6584
281,1049,6647
282,1091,6647
283,1095,6575
284,976,6584
285,840,6708
