TIME,II,V
0,4030,2890
1,4649,3284
2,4136,2890
3,3783,2650
4,4030,2813
5,4291,2923
6,4242,2813
7,4152,2737
8,4242,2813
9,4348,2862
10,4348,2813
11,4314,2765
12,4348,2774
13,4410,2772
14,4454,2736
15,4485,2699
16,4560,2697
17,4668,2722
18,4772,2774
19,4855,2835
20,4985,2890
21,5159,2925
22,5303,2967
23,5349,3016
24,5409,3083
25,5523,3134
26,5621,3160
27,5588,3152
28,5515,3160
29,5489,3188
30,5515,3237
31,5474,3249
32,5409,3237
33,5377,3204
34,5409,3198
35,5391,3211
36,5303,3237
37,5202,3246
38,5197,3237
39,5259,3222
40,5303,3237
41,5252,3261
42,5197,3275
43,5259,3309
44,5515,3468
45,5867,3778
46,6257,4200
47,6726,4714
48,7424,5395
49,8300,6193
50,9121,6897
51,9555,7237
52,9439,7052
53,8702,6187
54,7424,4624
55,5823,2708
56,4348,1156
57,3383,455
58,3076,501
59,3235,833
60,3606,1195
61,3968,1558
62,4242,1927
63,4356,2216
64,4348,2428
65,4332,2595
66,4454,2736
67,4624,2801
68,4666,2813
69,4535,2804
70,4454,2813
71,4506,2810
72,4560,2813
73,4457,2818
74,4348,2851
75,4365,2876
76,4454,2890
77,4430,2884
78,4348,2890
79,4352,2909
80,4454,2929
81,4468,2927
82,4348,2929
83,4248,2941
84,4348,2967
85,4526,2983
86,4560,3006
87,4415,3025
88,4348,3044
89,4455,3052
90,4560,3083
91,4471,3126
92,4348,3160
93,4389,3156
94,4560,3160
95,4652,3189
96,4666,3237
97,4696,3259
98,4772,3275
99,4820,3293
100,4879,3314
101,4948,3302
102,4985,3275
103,4955,3247
104,4985,3237
105,5070,3219
106,5091,3198
107,4995,3171
108,4985,3160
109,5110,3153
110,5197,3160
111,5120,3160
112,5091,3160
113,5211,3152
114,5303,3160
115,5191,3163
116,5091,3160
117,5176,3135
118,5303,3121
119,5232,3116
120,5091,3121
121,5054,3114
122,5091,3121
123,5065,3137
124,5091,3160
125,5216,3157
126,5303,3160
127,5197,3169
128,5091,3198
129,5119,3202
130,5197,3198
131,5144,3187
132,5091,3198
133,5167,3216
134,5303,3237
135,5297,3241
136,5197,3237
137,5175,3237
138,5303,3275
139,5435,3338
140,5515,3429
141,5633,3591
142,5939,3930
143,6358,4474
144,6788,5163
145,7291,5887
146,8060,6589
147,8905,7154
