TIME,II,V
0,2858,4330
1,3267,4868
2,2933,4245
3,2760,3901
4,2933,4160
5,3002,4296
6,2858,4075
7,2783,3917
8,2858,3990
9,2893,4011
10,2858,3905
11,2853,3852
12,2858,3905
13,2763,3901
14,2632,3820
15,2591,3769
16,2632,3820
17,2628,3909
18,2557,3990
19,2508,4033
20,2557,4075
21,2630,4136
22,2632,4245
23,2561,4337
24,2557,4415
25,2660,4496
26,2783,4669
27,2826,4913
28,2858,5179
29,2929,5391
30,3008,5603
31,3034,5862
32,3083,6198
33,3195,6498
34,3309,6707
35,3347,6823
36,3384,6962
37,3467,7133
38,3535,7301
39,3503,7397
40,3459,7471
41,3481,7526
42,3535,7556
43,3536,7537
44,3535,7556
45,3572,7609
46,3610,7641
47,3577,7585
48,3535,7556
49,3530,7614
50,3535,7726
51,3489,7755
52,3459,7726
53,3487,7673
54,3535,7641
55,3532,7585
56,3535,7556
57,3572,7545
58,3610,7556
59,3578,7538
60,3535,7556
61,3522,7598
62,3535,7641
63,3521,7604
64,3535,7556
65,3602,7531
66,3685,7556
67,3680,7557
68,3610,7556
69,3562,7545
70,3610,7556
71,3677,7548
72,3685,7556
73,3627,7553
74,3610,7556
75,3649,7539
76,3685,7556
77,3650,7567
78,3610,7556
79,3605,7494
80,3610,7471
81,3566,7476
82,3535,7471
83,3558,7382
84,3610,7301
85,3616,7273
86,3610,7301
87,3611,7276
88,3610,7216
89,3585,7147
90,3610,7131
91,3670,7123
92,3685,7131
93,3620,7126
94,3610,7131
95,3693,7097
96,3760,7047
97,3697,6979
98,3610,6962
99,3594,6960
100,3610,6962
101,3564,6937
102,3535,6962
103,3590,7004
104,3685,7047
105,3678,7009
106,3610,6962
107,3570,6932
108,3610,6962
109,3633,6972
110,3610,6962
111,3578,6941
112,3610,6962
113,3642,6963
114,3610,6962
115,3535,7033
116,3535,7216
117,3557,7209
118,3459,6792
119,3281,6324
120,3384,6707
121,4026,8253
122,5114,10188
123,6335,11298
124,7445,11207
125,8113,10407
126,7972,9509
127,6968,8520
128,5640,7216
129,4608,5620
130,4061,4245
131,3761,3603
132,3535,3820
133,3353,4462
134,3234,5009
135,3136,5199
136,3083,5179
137,3076,5141
138,3083,5179
139,3047,5201
140,3008,5179
141,2996,5117
142,3008,5094
143,3001,5091
144,3008,5094
145,3036,5048
146,3083,5009
147,3090,4985
148,3083,5009
149,3072,5021
150,3083,5009
151,3086,4960
152,3083,4924
153,3075,4887
154,3083,4839
155,3086,4772
156,3083,4754
157,3072,4765
158,3083,4754
159,3092,4671
160,3083,4585
161,3059,4505
162,3083,4415
163,3138,4294
164,3159,4245
165,3110,4258
166,3083,4245
167,3116,4137
168,3159,4075
169,3132,4109
170,3083,4160
171,3047,4111
172,3008,4075
173,2943,4134
174,2933,4245
175,2983,4259
176,3008,4245
177,2953,4311
178,2933,4500
179,3006,4682
180,3083,4839
181,3055,5006
182,3008,5264
183,3028,5560
184,3083,5858
185,3082,6111
186,3083,6367
187,3147,6624
188,3234,6877
189,3247,7042
190,3234,7131
191,3257,7185
192,3309,7301
193,3318,7444
194,3309,7556
195,3306,7568
196,3309,7556
197,3292,7570
198,3309,7641
199,3358,7695
200,3384,7726
201,3341,7720
202,3309,7726
203,3336,7720
204,3384,7726
205,3364,7717
206,3309,7726
207,3282,7720
208,3309,7726
209,3322,7716
210,3309,7726
211,3293,7724
212,3309,7726
213,3298,7686
214,3234,7641
215,3153,7581
216,3159,7556
217,3220,7540
218,3234,7556
219,3147,7555
220,3083,7556
221,3109,7541
222,3159,7556
223,3126,7561
224,3083,7556
225,3122,7500
226,3234,7471
227,3277,7458
228,3234,7471
229,3140,7434
230,3083,7386
231,3080,7326
232,3159,7301
233,3258,7287
234,3309,7301
235,3292,7298
236,3309,7301
237,3372,7301
238,3384,7301
239,3257,7173
240,3083,6877
241,2988,6564
242,3083,6707
243,3506,7653
244,4437,9254
245,5774,10702
246,7069,11291
247,7810,11008
248,7821,10442
249,7194,9801
250,6167,8745
251,5068,7055
252,4287,5349
253,3928,4435
254,3760,4500
255,3511,4971
256,3234,5349
257,3088,5512
258,3083,5603
259,3067,5633
260,3008,5603
261,2955,5530
262,2933,5518
263,2891,5558
264,2858,5603
265,2890,5571
266,3008,5518
267,3097,5488
268,3083,5518
269,2961,5502
270,2858,5433
271,2826,5348
272,2858,5349
273,2868,5374
274,2858,5349
275,2845,5246
276,2858,5179
277,2865,5174
278,2858,5179
279,2800,5100
280,2707,5009
281,2640,4952
282,2707,4924
283,2876,4843
284,3008,4754
285,3000,4691
286,2933,4669
287,2885,4622
288,2858,4585
289,2823,4565
290,2858,4585
291,2974,4581
292,3083,4585
293,3095,4601
294,3083,4669
295,3097,4743
296,3083,4839
297,2990,4945
298,2933,5094
299,2986,5228
300,3083,5349
301,3123,5467
302,3159,5688
303,3219,6004
304,3234,6367
305,3146,6679
306,3083,6962
307,3138,7199
308,3234,7386
309,3225,7480
310,3159,7556
311,3156,7638
312,3234,7726
313,3250,7742
314,3159,7726
315,3057,7706
316,3083,7726
