TIMESTAMP,II,V
0,399,-550
1,539,-729
2,541,-739
3,484,-682
4,462,-646
5,479,-625
6,471,-580
7,408,-494
8,332,-374
9,280,-251
10,243,-163
11,199,-127
12,159,-118
13,136,-99
14,109,-63
15,58,-23
16,4,8
17,-19,39
18,-13,89
19,-4,172
20,2,278
21,13,361
22,25,372
23,24,304
24,14,206
25,3,152
26,-11,166
27,-23,196
28,-6,169
29,44,87
30,111,10
31,127,3
32,87,33
33,10,53
34,-46,22
35,-63,-20
36,-56,-32
37,-48,-7
38,-47,31
39,-47,82
40,-39,141
41,-37,167
42,-64,127
43,-110,73
44,-125,80
45,-32,98
46,330,-85
47,1249,-694
48,2890,-1761
49,4900,-3100
50,6457,-4470
51,6859,-5670
52,5996,-6372
53,4233,-6061
54,2125,-4537
55,349,-2513
56,-489,-1204
57,-342,-1082
58,172,-1409
59,403,-1267
60,280,-648
61,124,-154
62,88,-49
63,62,-82
64,-25,-47
65,-101,-6
66,-113,-27
67,-106,-53
68,-119,-40
69,-139,-10
70,-138,14
71,-141,42
72,-152,52
73,-188,52
74,-207,55
75,-198,90
76,-160,116
77,-133,125
78,-133,130
79,-135,154
80,-101,173
81,-33,150
82,36,73
83,77,-12
84,101,-62
85,140,-91
86,216,-150
87,318,-259
88,426,-397
89,525,-550
90,611,-735
91,685,-940
92,750,-1094
93,810,-1131
94,864,-1079
95,912,-1035
96,951,-1057
97,970,-1105
98,954,-1103
99,908,-1037
100,854,-957
101,807,-903
102,754,-845
103,679,-716
104,583,-505
105,482,-291
106,388,-166
107,303,-135
108,235,-123
109,189,-80
110,166,-34
111,155,-32
112,142,-66
113,104,-70
114,35,-16
115,-36,59
116,-61,89
117,-40,59
118,-19,11
119,-36,12
120,-46,58
121,-26,110
122,24,92
123,58,20
124,87,-62
125,127,-102
126,175,-108
127,198,-98
128,177,-66
129,124,-5
130,79,49
131,70,58
132,87,49
133,86,85
134,45,173
135,53,205
136,389,-19
137,1435,-735
138,3275,-2005
139,5340,-3544
140,6667,-4879
141,6668,-5728
142,5511,-5989
143,3744,-5430
144,1837,-3878
145,230,-1882
146,-610,-576
147,-561,-494
148,-97,-939
149,165,-936
150,64,-407
151,-146,52
152,-263,145
153,-304,86
154,-329,85
155,-350,125
156,-375,168
157,-414,233
158,-430,287
159,-405,276
160,-371,226
161,-372,204
162,-367,183
163,-335,128
164,-276,42
165,-238,-1
166,-216,-1
167,-183,2
168,-137,-30
169,-106,-61
170,-109,-51
171,-118,-32
172,-89,-92
173,-24,-221
174,38,-298
175,83,-261
176,132,-199
177,192,-213
178,237,-279
179,259,-332
180,308,-378
181,421,-443
182,550,-490
183,616,-499
184,602,-541
185,564,-676
186,552,-832
187,576,-884
188,616,-805
189,647,-680
190,641,-594
191,582,-571
192,475,-598
193,356,-646
194,273,-651
195,268,-526
196,329,-285
197,379,-101
198,336,-151
199,203,-383
200,63,-531
201,-9,-408
202,-29,-129
203,-74,32
204,-183,-15
205,-282,-78
206,-284,28
207,-230,214
208,-222,248
209,-257,138
210,-226,93
211,-194,177
212,-310,171
213,-522,11
214,-514,-37
215,-185,253
216,116,648
217,16,734
218,-388,434
219,-676,49
220,-647,-163
221,-490,-188
222,-420,-107
223,-393,45
224,-258,191
225,-20,134
226,331,-319
227,1136,-1170
228,2763,-2220
229,4866,-3253
230,6325,-4170
231,6283,-4866
232,4951,-5060
233,3181,-4430
234,1560,-3045
235,265,-1547
236,-558,-712
237,-765,-742
238,-516,-1105
239,-236,-1159
240,-197,-785
241,-307,-330
242,-365,-85
243,-355,-13
244,-410,86
245,-536,314
246,-607,544
247,-613,525
248,-675,182
249,-741,-181
250,-575,-162
251,-221,221
252,-85,466
253,-397,259
254,-744,-110
255,-630,-81
256,-160,371
257,76,689
258,-187,447
259,-568,-58
260,-605,-190
261,-371,183
262,-296,488
263,-495,184
264,-599,-525
265,-338,-901
266,26,-586
267,85,-39
268,-127,88
269,-221,-227
270,-7,-482
271,333,-476
272,546,-540
273,572,-863
274,485,-1088
275,369,-894
276,299,-561
277,334,-578
278,459,-874
279,589,-914
280,612,-517
281,464,-164
282,203,-302
283,-4,-691
284,-41,-726
285,47,-274
286,115,147
287,77,122
288,-35,-102
289,-140,-12
290,-192,391
291,-190,607
292,-103,392
293,118,121
294,378,207
295,363,484
296,-68,413
297,-578,-74
298,-583,-405
299,-47,-57
300,401,687
301,219,1030
302,-372,585
