TIMESTAMP,II,V
0,4623,13742
1,5281,15562
2,4748,13742
3,4507,12797
4,4873,13742
5,5070,14254
6,4873,13578
7,4741,13136
8,4873,13578
9,4983,13946
10,4998,13742
11,5075,13437
12,5248,13414
13,5381,13448
14,5497,13414
15,5640,13383
16,5747,13414
17,5744,13424
18,5747,13414
19,5850,13350
20,5997,13251
21,6071,13131
22,6122,13087
23,6216,13020
24,6372,12924
25,6505,12743
26,6622,12596
27,6741,12479
28,6872,12433
29,6923,12352
30,6872,12269
31,6739,12157
32,6622,12106
33,6540,12073
34,6497,12106
35,6441,12151
36,6372,12269
37,6259,12410
38,6122,12596
39,5971,12710
40,5872,12760
41,5812,12729
42,5747,12760
43,5587,12829
44,5373,12924
45,5188,12929
46,5123,12924
47,5091,12907
48,4998,12924
49,4796,12864
50,4623,12760
51,4561,12585
52,4623,12433
53,4695,12300
54,4748,12269
55,4758,12263
56,4748,12269
57,4689,12232
58,4623,12269
59,4552,12345
60,4498,12433
61,4426,12424
62,4373,12433
63,4346,12479
64,4373,12596
65,4422,12672
66,4498,12760
67,4563,12835
68,4623,12924
69,4670,12930
70,4748,12924
71,4824,12901
72,4873,12924
73,4865,12911
74,4873,12924
75,4920,12959
76,4998,13087
77,5020,13192
78,4998,13251
79,4969,13224
80,4998,13251
81,5024,13323
82,4998,13414
83,4912,13372
84,4873,13251
85,4910,13111
86,4998,13087
87,5060,13093
88,5123,13087
89,5191,12993
90,5248,12924
91,5215,12889
92,5123,12924
93,5026,12923
94,4998,12924
95,4998,12900
96,4998,12924
97,4948,12927
98,4873,12924
99,4753,12806
100,4623,12596
101,4511,12302
102,4498,12106
103,4556,12035
104,4623,12106
105,4625,12181
106,4623,12269
107,4660,12292
108,4748,12269
109,4816,12164
110,4873,12106
111,4920,12084
112,4998,12106
113,5095,12080
114,5248,12106
115,5401,12169
116,5497,12269
117,5466,12277
118,5373,12269
119,5280,12294
120,5248,12433
121,5237,12549
122,5248,12596
123,5247,12518
124,5248,12433
125,5231,12337
126,5248,12269
127,5294,12162
128,5373,12106
129,5431,12120
130,5497,12269
131,5588,12437
132,5747,12596
133,5936,12680
134,6122,12760
135,6227,12784
136,6247,12760
137,6189,12615
138,6122,12433
139,6051,12233
140,5997,12106
141,5961,11996
142,5997,11942
143,6073,11902
144,6122,11942
145,6045,12006
146,5872,12106
147,5666,12133
148,5497,12106
149,5320,12001
150,5123,11942
151,4938,11914
152,4873,11942
153,4884,11934
154,4873,11942
155,4750,11923
156,4623,11942
157,4537,11927
158,4498,11942
159,4413,11931
160,4373,11942
161,4398,11926
162,4498,11942
163,4567,11995
164,4623,12106
165,4650,12202
166,4623,12269
167,4502,12314
168,4373,12433
169,4313,12579
170,4373,12760
171,4569,13004
172,4998,13578
173,5687,14563
174,6622,15868
175,7803,17074
176,9371,17831
177,11327,17731
178,13369,16523
179,14874,14014
180,15243,10470
181,14114,6436
182,11620,2781
183,8371,199
184,5248,-818
185,2853,-303
186,1374,1472
187,736,3962
188,875,6707
189,1559,9187
190,2374,11124
191,2911,12365
192,3124,13087
193,3185,13427
194,3249,13578
195,3273,13572
196,3249,13578
197,3209,13619
198,3249,13742
199,3316,13778
200,3373,13742
201,3364,13664
202,3373,13742
203,3378,13961
204,3373,14232
205,3337,14380
206,3373,14396
207,3497,14317
208,3623,14232
209,3645,14129
210,3623,14069
211,3650,14033
212,3748,14069
213,3826,14077
214,3873,14069
215,3913,13981
216,3998,13905
217,4111,13849
218,4248,13905
219,4347,13986
220,4373,14069
221,4308,14066
222,4248,14069
223,4261,14055
224,4373,14069
225,4503,14048
226,4623,14069
227,4726,14074
228,4873,14069
229,5052,13975
230,5248,13905
231,5393,13873
232,5497,13905
233,5559,13857
234,5622,13742
235,5678,13551
236,5747,13414
237,5810,13303
238,5872,13251
239,5891,13167
240,5872,13087
241,5806,12938
242,5747,12760
243,5716,12504
244,5747,12269
245,5805,12052
246,5872,11942
247,5925,11891
248,5997,11942
249,6067,12005
250,6122,12106
251,6128,12213
252,6122,12433
253,6081,12687
254,5997,12924
255,5860,13021
256,5747,13087
257,5643,13148
258,5497,13251
259,5252,13275
260,4998,13251
261,4788,13159
262,4623,13087
263,4427,12986
264,4248,12924
265,4137,12882
266,4123,12924
267,4123,12938
268,4123,12924
269,4143,12870
270,4248,12924
271,4382,13022
272,4498,13087
273,4555,13004
274,4623,12924
275,4698,12891
276,4748,12924
277,4701,12903
278,4623,12924
279,4584,12986
280,4623,13087
