TIME,II,V
0,12,-156
1,21,-218
2,32,-232
3,28,-223
4,0,-217
5,-32,-222
6,-30,-229
7,10,-230
8,41,-224
9,32,-219
10,8,-220
11,12,-230
12,38,-242
13,46,-248
14,27,-245
15,16,-241
16,42,-246
17,83,-262
18,100,-278
19,92,-282
20,100,-275
21,137,-264
22,174,-251
23,186,-232
24,202,-212
25,250,-196
26,311,-187
27,351,-176
28,378,-156
29,418,-138
30,467,-143
31,508,-157
32,539,-147
33,563,-106
34,570,-71
35,567,-68
36,588,-78
37,637,-67
38,669,-39
39,655,-15
40,628,-3
41,615,9
42,593,21
43,552,26
44,528,28
45,536,37
46,527,50
47,467,53
48,401,42
49,373,26
50,352,17
51,289,19
52,212,29
53,174,35
54,172,25
55,156,1
56,111,-23
57,63,-37
58,32,-44
59,10,-41
60,-7,-25
61,-19,1
62,-29,12
63,-44,-9
64,-64,-51
65,-76,-80
66,-73,-77
67,-64,-57
68,-69,-48
69,-89,-60
70,-106,-79
71,-108,-86
72,-111,-81
73,-123,-80
74,-133,-90
75,-132,-107
76,-132,-118
77,-139,-117
78,-139,-103
79,-131,-90
80,-138,-89
81,-162,-95
82,-167,-96
83,-139,-87
84,-117,-84
85,-133,-93
86,-158,-99
87,-157,-90
88,-146,-76
89,-145,-75
90,-136,-86
91,-105,-88
92,-81,-66
93,-85,-28
94,-84,3
95,-44,16
96,10,17
97,30,21
98,21,38
99,18,65
100,35,85
101,55,94
102,71,98
103,91,109
104,118,125
105,143,130
106,162,115
107,172,88
108,171,68
109,177,62
110,209,55
111,256,35
112,273,6
113,233,-16
114,158,-24
115,101,-27
116,85,-35
117,80,-51
118,42,-72
119,-27,-100
120,-93,-134
121,-139,-160
122,-184,-166
123,-230,-158
124,-249,-158
125,-236,-168
126,-229,-168
127,-243,-150
128,-246,-138
129,-227,-149
130,-235,-164
131,-289,-152
132,-328,-118
133,-303,-100
134,-263,-118
135,-263,-153
136,-280,-171
137,-264,-164
138,-239,-154
139,-242,-152
140,-261,-148
141,-256,-138
142,-246,-132
143,-253,-131
144,-265,-118
145,-260,-89
146,-273,-74
147,-340,-79
148,-444,-87
149,-533,-91
150,-603,-104
151,-679,-97
152,-780,-10
153,-890,144
154,-1024,235
155,-1227,151
156,-1513,-61
157,-1789,-228
158,-1924,-250
159,-1889,-184
160,-1803,-140
161,-1777,-115
162,-1796,-44
163,-1788,44
164,-1751,3
165,-1746,-232
166,-1788,-533
167,-1826,-732
168,-1817,-816
169,-1780,-883
170,-1759,-971
171,-1763,-1018
172,-1755,-976
173,-1686,-871
174,-1549,-767
175,-1403,-712
176,-1314,-716
177,-1266,-752
178,-1180,-765
179,-1004,-728
180,-785,-655
181,-569,-571
182,-370,-479
183,-195,-380
184,-90,-291
185,-64,-225
186,-59,-180
187,-22,-147
188,11,-134
189,8,-144
190,-5,-159
191,17,-153
192,46,-131
193,45,-108
194,33,-97
195,45,-93
196,62,-96
197,56,-108
198,45,-127
199,56,-140
200,69,-142
201,60,-136
202,49,-132
203,63,-131
204,91,-130
205,104,-125
206,110,-118
207,127,-118
208,156,-123
209,179,-119
210,206,-100
211,246,-81
212,296,-86
213,334,-111
214,357,-123
215,384,-104
216,424,-79
217,456,-70
218,460,-69
219,456,-59
220,487,-42
221,557,-37
222,623,-39
223,652,-21
224,662,28
225,688,89
226,723,131
227,743,145
228,744,141
229,737,138
230,720,143
231,694,152
232,679,158
233,679,161
234,667,159
235,624,150
236,572,135
237,533,128
238,496,138
239,448,156
240,404,162
241,376,149
242,348,131
243,308,127
244,278,134
245,261,135
246,227,124
247,162,110
248,111,99
249,106,91
250,112,81
251,80,73
252,26,72
253,-2,76
254,3,78
255,5,68
256,-13,50
257,-39,37
258,-62,36
259,-79,40
260,-88,38
261,-96,32
262,-113,31
263,-135,36
264,-143,38
265,-128,36
266,-107,41
267,-100,53
268,-105,57
269,-111,47
270,-118,41
271,-128,56
272,-134,79
273,-120,87
274,-88,80
275,-69,79
276,-86,96
277,-115,122
278,-106,144
279,-58,150
280,-23,141
281,-30,122
282,-43,110
283,-28,115
284,-6,138
285,-3,166
286,2,186
287,25,191
288,36,189
289,23,200
290,29,235
291,81,276
292,130,288
293,131,268
294,117,253
295,138,265
296,175,280
297,186,264
298,183,227
299,205,203
300,251,205
301,280,219
302,276,222
303,249,205
304,203,171
305,139,137
306,77,124
307,35,126
308,9,116
309,-18,83
310,-61,49
311,-119,35
312,-185,32
313,-235,21
314,-244,13
315,-216,19
316,-189,31
317,-191,25
318,-211,2
319,-230,-20
320,-247,-25
321,-263,-24
322,-269,-31
323,-260,-42
324,-253,-41
325,-259,-30
326,-266,-30
327,-245,-47
328,-210,-63
329,-191,-55
330,-212,-35
331,-235,-29
332,-219,-45
333,-170,-57
334,-149,-40
335,-185,0
336,-250,37
337,-311,46
338,-393,24
339,-501,-8
340,-603,-14
341,-673,41
342,-751,155
343,-865,274
344,-1010,314
345,-1198,224
346,-1472,44
347,-1766,-109
348,-1919,-147
349,-1870,-87
350,-1769,-13
351,-1754,46
352,-1779,116
353,-1745,172
354,-1688,110
355,-1700,-119
356,-1764,-408
357,-1788,-606
358,-1760,-681
359,-1739,-721
360,-1749,-785
361,-1750,-834
362,-1709,-808
363,-1615,-711
364,-1478,-607
365,-1332,-556
366,-1233,-565
367,-1188,-595
368,-1133,-605
369,-992,-574
370,-770,-501
371,-524,-401
372,-316,-293
373,-164,-198
374,-73,-122
375,-35,-63
376,-35,-24
377,-32,-7
378,2,-9
379,57,-11
380,88,-3
381,85,14
382,78,24
383,94,22
384,111,9
385,113,-4
386,113,-13
387,128,-14
388,136,-7
389,132,12
390,139,35
391,160,47
392,154,40
393,122,22
394,133,7
395,208,-2
396,272,-8
397,264,-14
398,241,-13
399,272,-3
400,332,3
401,360,-8
402,372,-28
403,402,-40
404,434,-31
405,443,-13
406,459,-1
407,510,5
408,563,20
409,587,46
410,615,66
411,675,78
412,728,97
413,724,127
414,691,147
415,688,142
416,712,132
417,718,148
418,697,191
419,691,232
420,725,253
421,763,259
422,754,263
423,698,269
424,649,277
425,635,284
426,629,283
427,595,274
428,546,263
429,510,257
430,485,258
431,453,258
432,420,245
433,384,216
434,333,184
435,275,163
436,253,159
437,260,163
438,236,161
439,159,152
440,101,143
441,106,138
442,124,141
443,94,150
444,53,165
445,56,177
446,79,173
447,66,154
448,20,136
449,-15,131
450,-30,132
451,-38,125
452,-28,115
453,2,109
454,20,104
455,7,91
456,-6,72
457,-1,63
458,-3,74
459,-28,97
460,-36,114
461,-4,111
462,24,94
463,9,74
464,-17,67
465,-9,72
466,12,79
467,1,81
468,-36,82
469,-50,85
470,-23,90
471,11,93
472,21,94
473,16,101
474,24,120
475,47,142
476,68,157
477,78,165
478,95,176
479,124,195
480,151,214
481,175,221
482,214,215
483,263,207
484,281,204
485,259,204
486,249,199
487,289,191
488,346,185
489,379,180
490,404,171
491,438,157
492,440,144
493,379,140
494,291,139
495,230,129
496,192,107
497,155,79
498,123,56
499,97,40
500,40,25
501,-54,6
502,-127,-16
503,-139,-36
504,-134,-48
505,-163,-58
506,-203,-71
507,-210,-93
508,-200,-115
509,-211,-120
510,-235,-100
511,-234,-71
512,-211,-58
513,-195,-70
514,-197,-89
515,-195,-95
516,-185,-88
517,-181,-76
518,-200,-61
519,-220,-48
520,-226,-47
521,-219,-65
522,-221,-82
523,-217,-68
524,-189,-15
525,-165,43
526,-216,64
527,-346,43
528,-474,9
529,-536,-6
530,-575,9
531,-651,74
532,-764,195
533,-872,325
534,-1009,360
535,-1238,238
536,-1549,19
537,-1818,-148
538,-1938,-174
539,-1912,-104
540,-1843,-34
541,-1812,22
542,-1811,102
543,-1791,161
544,-1750,70
545,-1742,-198
546,-1793,-490
547,-1839,-644
548,-1805,-678
549,-1720,-720
550,-1693,-808
551,-1750,-857
552,-1784,-803
553,-1696,-691
554,-1530,-608
555,-1397,-590
556,-1332,-607
557,-1273,-623
558,-1162,-626
559,-978,-608
560,-741,-550
561,-486,-442
562,-280,-313
563,-156,-201
564,-91,-119
565,-36,-57
566,15,-16
567,44,-6
568,44,-20
569,37,-33
570,36,-26
571,50,-3
572,72,16
573,100,23
574,125,13
575,141,-1
576,140,-16
577,132,-26
578,128,-27
579,131,-20
580,136,-14
581,144,-19
582,160,-37
583,166,-51
584,139,-46
585,104,-27
586,117,-15
587,173,-21
588,200,-37
589,169,-47
590,151,-51
591,198,-52
592,264,-51
593,291,-46
594,309,-41
595,361,-40
596,415,-35
597,430,-16
