TIMESTAMP,II,V
0,478,-1084
1,559,-1441
2,554,-1433
3,625,-1297
4,781,-1298
5,907,-1456
6,971,-1617
7,1036,-1664
8,1122,-1621
9,1166,-1566
10,1135,-1524
11,1090,-1481
12,1093,-1426
13,1101,-1355
14,1027,-1260
15,890,-1169
16,811,-1132
17,847,-1122
18,881,-1040
19,774,-859
20,569,-695
21,468,-658
22,566,-700
23,699,-689
24,632,-605
25,340,-524
26,46,-504
27,-50,-498
28,26,-458
29,111,-398
30,117,-375
31,60,-388
32,-18,-384
33,-90,-334
34,-108,-293
35,-57,-303
36,12,-335
37,24,-326
38,-16,-282
39,-57,-257
40,-58,-284
41,-31,-336
42,11,-379
43,61,-389
44,123,-371
45,192,-355
46,244,-373
47,237,-391
48,159,-348
49,70,-254
50,88,-213
51,281,-270
52,577,-335
53,797,-287
54,822,-142
55,708,-30
56,622,-54
57,649,-201
58,722,-383
59,734,-505
60,676,-529
61,629,-500
62,633,-501
63,619,-552
64,516,-591
65,374,-568
66,308,-522
67,349,-522
68,401,-575
69,392,-620
70,362,-613
71,366,-564
72,369,-517
73,318,-499
74,251,-509
75,226,-525
76,222,-526
77,180,-502
78,100,-460
79,30,-420
80,-1,-398
81,6,-391
82,40,-384
83,42,-361
84,-51,-324
85,-196,-286
86,-250,-269
87,-162,-284
88,-68,-331
89,-122,-381
90,-278,-407
91,-336,-388
92,-198,-338
93,-2,-284
94,47,-252
95,-74,-243
96,-202,-258
97,-231,-296
98,-224,-336
99,-250,-321
100,-255,-226
101,-179,-120
102,-90,-121
103,-67,-256
104,-78,-400
105,-85,-408
106,-114,-293
107,-173,-208
108,-161,-255
109,-61,-348
110,-11,-338
111,-98,-229
112,-183,-178
113,-92,-265
114,106,-375
115,189,-377
116,70,-291
117,-126,-215
118,-285,-153
119,-441,-62
120,-667,47
121,-861,119
122,-732,157
123,-23,172
124,1171,135
125,2371,2
126,3012,-148
127,2865,-182
128,2127,-37
129,1179,240
130,326,548
131,-255,790
132,-503,934
133,-530,1046
134,-572,1214
135,-777,1406
136,-1052,1526
137,-1211,1619
138,-1212,1844
139,-1180,2212
140,-1247,2554
141,-1428,2832
142,-1662,3243
143,-1865,3837
144,-1947,4213
145,-1815,3872
146,-1454,2816
147,-997,1605
148,-629,805
149,-439,520
150,-345,462
151,-252,360
152,-162,189
153,-119,70
154,-108,51
155,-86,59
156,-63,25
157,-78,-52
158,-103,-134
159,-62,-219
160,43,-303
161,102,-362
162,15,-365
163,-153,-322
164,-232,-274
165,-130,-274
166,43,-318
167,109,-370
168,17,-391
169,-108,-402
170,-139,-440
171,-73,-486
172,-5,-481
173,9,-416
174,-1,-363
175,18,-385
176,73,-457
177,132,-503
178,173,-507
179,194,-509
180,189,-551
181,152,-628
182,107,-704
183,95,-726
184,138,-680
185,212,-610
186,283,-610
187,332,-713
188,362,-850
189,372,-915
190,364,-883
191,343,-811
192,334,-782
193,371,-835
194,459,-955
195,553,-1060
196,602,-1078
197,599,-1020
198,595,-980
199,619,-1006
200,660,-1061
201,692,-1104
202,732,-1162
203,788,-1239
204,847,-1275
205,906,-1232
206,1003,-1174
207,1157,-1180
208,1324,-1237
209,1438,-1272
210,1481,-1270
211,1476,-1265
212,1450,-1276
213,1416,-1278
214,1397,-1259
215,1396,-1217
216,1394,-1154
217,1373,-1063
218,1351,-964
219,1337,-887
220,1313,-850
221,1232,-819
222,1098,-747
223,968,-625
224,907,-502
225,896,-425
226,869,-401
227,777,-397
228,665,-391
229,593,-360
230,579,-299
231,580,-238
232,575,-231
233,560,-264
234,558,-272
235,589,-224
236,671,-179
237,786,-171
238,900,-143
239,977,-29
240,1030,115
241,1080,155
242,1135,36
243,1166,-147
244,1161,-263
245,1132,-282
246,1108,-275
247,1083,-300
248,1042,-338
249,1005,-353
250,1016,-357
251,1052,-364
252,1032,-356
253,922,-326
254,809,-318
255,794,-363
256,873,-420
257,952,-416
258,974,-348
259,935,-280
260,869,-266
261,822,-297
262,834,-330
263,871,-335
264,850,-298
265,743,-214
266,637,-103
267,605,-24
268,611,-28
269,570,-87
270,475,-107
271,387,-42
272,359,46
273,379,73
274,419,37
275,448,6
276,449,18
277,415,44
278,371,49
279,355,31
280,382,10
281,403,2
282,367,15
283,273,50
284,194,99
285,184,136
286,231,140
287,277,118
288,300,104
289,314,117
290,329,134
291,339,123
292,343,88
293,334,71
294,313,97
295,289,141
296,293,159
297,309,142
298,305,126
299,281,131
300,287,141
301,325,139
302,333,142
303,289,151
304,258,155
305,278,151
306,263,182
307,117,244
308,-119,309
309,-271,370
310,-152,490
311,362,644
312,1266,703
313,2340,552
314,3147,299
315,3271,175
316,2623,311
317,1531,625
318,512,948
319,-85,1177
320,-270,1330
321,-322,1484
322,-474,1681
323,-715,1878
324,-862,2033
325,-832,2207
326,-749,2495
327,-784,2864
328,-976,3214
329,-1238,3592
330,-1468,4119
331,-1581,4632
332,-1498,4641
333,-1194,3851
334,-760,2591
335,-371,1516
336,-126,967
337,-9,762
338,79,582
339,173,348
340,245,193
341,262,191
342,247,254
343,245,260
344,267,200
345,283,146
346,275,130
347,258,114
348,250,81
349,246,50
350,236,51
351,229,63
352,238,66
353,262,47
354,277,23
355,275,-4
356,263,-17
357,255,-9
358,243,22
359,217,62
360,191,88
361,195,83
362,229,50
363,246,5
364,224,-43
365,214,-79
366,285,-83
367,394,-49
368,417,0
369,325,32
370,245,29
371,286,-14
372,388,-89
373,405,-149
374,315,-142
375,224,-71
376,221,-18
377,282,-50
378,342,-148
379,369,-227
380,387,-244
381,410,-228
382,440,-235
383,468,-292
384,502,-381
385,542,-455
386,584,-483
387,632,-472
388,699,-464
389,767,-486
390,800,-531
391,795,-578
392,820,-621
393,922,-668
394,1068,-717
395,1177,-759
396,1228,-792
397,1259,-802
398,1296,-778
399,1323,-734
400,1318,-703
401,1291,-693
402,1271,-671
403,1255,-612
404,1203,-531
405,1083,-448
406,930,-361
407,821,-267
408,806,-194
409,851,-152
410,866,-105
411,774,-17
412,593,97
413,413,184
414,326,217
415,335,225
416,369,239
417,360,255
418,315,248
419,274,226
420,260,227
421,252,268
422,244,314
423,259,331
424,330,320
425,442,312
426,537,330
427,562,400
428,538,533
429,539,683
430,627,744
431,773,651
432,882,461
433,891,294
434,828,216
435,768,203
436,747,199
437,740,178
438,714,145
439,658,115
440,595,101
441,555,108
442,551,132
443,558,156
444,544,161
445,524,145
446,539,132
447,574,151
448,562,208
449,481,276
450,404,325
451,391,337
452,401,327
453,351,327
454,244,355
455,158,381
456,146,370
457,185,338
458,224,347
459,218,405
460,159,441
461,73,399
462,12,327
463,1,314
464,20,380
465,36,454
466,42,471
467,56,435
468,84,400
469,102,399
470,91,423
471,65,447
472,56,455
473,59,432
474,48,381
475,16,338
476,4,349
477,43,402
478,103,434
479,123,404
480,91,355
481,54,341
482,66,356
483,100,356
484,113,337
485,99,323
486,104,321
487,144,296
488,166,246
489,123,216
