TIME,II,V
0,885,-74
1,1212,-128
2,1282,-165
3,1261,-187
4,1317,-224
5,1443,-291
6,1542,-373
7,1576,-441
8,1593,-490
9,1630,-528
10,1669,-563
11,1669,-585
12,1632,-591
13,1579,-589
14,1507,-587
15,1395,-578
16,1257,-551
17,1126,-509
18,1022,-477
19,930,-467
20,845,-465
21,774,-444
22,722,-403
23,675,-360
24,629,-342
25,583,-345
26,551,-353
27,534,-354
28,539,-354
29,554,-359
30,578,-371
31,596,-371
32,603,-348
33,591,-313
34,579,-293
35,585,-290
36,618,-289
37,652,-280
38,667,-285
39,669,-326
40,701,-402
41,778,-478
42,870,-526
43,931,-543
44,953,-546
45,964,-539
46,991,-523
47,1022,-505
48,1028,-502
49,992,-515
50,930,-521
51,864,-500
52,799,-459
53,717,-416
54,609,-379
55,495,-331
56,410,-272
57,362,-220
58,328,-198
59,283,-206
60,232,-218
61,185,-207
62,146,-174
63,108,-142
64,82,-135
65,79,-148
66,92,-160
67,96,-154
68,78,-141
69,42,-132
70,5,-127
71,-25,-113
72,-45,-93
73,-52,-82
74,-41,-96
75,-18,-119
76,3,-131
77,4,-116
78,-7,-101
79,-29,-93
80,-54,-100
81,-87,-88
82,-108,-58
83,-112,-18
84,-97,-14
85,-67,-44
86,-29,-79
87,-2,-85
88,1,-67
89,-2,-45
90,19,-30
91,49,-35
92,64,-103
93,150,-298
94,497,-706
95,1198,-1410
96,2074,-2393
97,2800,-3450
98,3177,-4285
99,3261,-4763
100,3230,-4982
101,3160,-5050
102,2927,-4883
103,2322,-4315
104,1318,-3377
105,222,-2354
106,-514,-1551
107,-678,-1060
108,-467,-763
109,-236,-521
110,-155,-301
111,-155,-146
112,-127,-72
113,-63,-43
114,-19,-16
115,-32,19
116,-88,54
117,-147,86
118,-164,107
119,-136,119
120,-79,110
121,-33,97
122,-12,82
123,-27,95
124,-57,128
125,-75,159
126,-57,144
127,-25,99
128,-17,78
129,-39,109
130,-51,151
131,-17,150
132,40,113
133,56,93
134,6,115
135,-66,143
136,-91,133
137,-48,92
138,21,62
139,64,68
140,74,86
141,73,78
142,81,47
143,90,34
144,96,65
145,98,112
146,115,118
147,167,72
148,260,13
149,357,-14
150,420,-13
151,442,-10
152,465,-23
153,512,-45
154,564,-70
155,597,-91
156,634,-104
157,707,-118
158,809,-152
159,887,-206
160,922,-259
161,960,-295
162,1059,-334
163,1199,-390
164,1306,-442
165,1343,-468
166,1361,-483
167,1421,-519
168,1516,-580
169,1577,-632
170,1572,-652
171,1524,-655
172,1470,-672
173,1402,-697
174,1304,-691
175,1192,-641
176,1109,-580
177,1055,-541
178,987,-516
179,877,-483
180,763,-451
181,683,-432
182,636,-415
183,593,-391
184,557,-375
185,529,-374
186,500,-366
187,459,-335
188,447,-302
189,499,-296
190,595,-308
191,654,-310
192,646,-300
193,614,-304
194,632,-331
195,694,-356
196,740,-363
197,745,-371
198,760,-412
199,811,-471
200,856,-502
201,854,-485
202,847,-460
203,891,-466
204,962,-490
205,977,-494
206,915,-472
207,841,-451
208,818,-447
209,814,-434
210,745,-389
211,580,-316
212,384,-246
213,254,-201
214,224,-184
215,252,-184
216,276,-192
217,257,-189
218,195,-161
219,126,-121
220,99,-100
221,114,-105
222,129,-111
223,112,-96
224,84,-80
225,71,-84
226,69,-93
227,61,-81
228,52,-54
229,44,-37
230,17,-39
231,-36,-44
232,-86,-44
233,-105,-45
234,-110,-54
235,-137,-50
236,-176,-27
237,-197,12
238,-182,29
239,-162,20
240,-159,-2
241,-184,7
242,-216,39
243,-233,61
244,-234,48
245,-241,25
246,-263,35
247,-268,78
248,-222,109
249,-148,103
250,-110,68
251,-96,-21
252,58,-278
253,567,-840
254,1448,-1721
255,2411,-2747
256,3080,-3669
257,3336,-4332
258,3308,-4687
259,3060,-4683
260,2417,-4231
261,1274,-3347
262,-74,-2261
263,-1058,-1320
264,-1334,-730
265,-1059,-447
266,-678,-290
267,-493,-134
268,-491,22
269,-507,123
270,-458,159
271,-390,171
272,-368,196
273,-380,231
274,-384,247
275,-370,246
276,-355,242
277,-350,241
278,-334,218
279,-305,188
280,-271,175
281,-260,200
282,-263,219
283,-260,206
284,-236,178
285,-209,179
286,-211,213
287,-234,249
288,-246,267
289,-230,266
290,-205,250
291,-202,234
292,-217,239
293,-220,262
294,-188,269
295,-141,236
296,-106,193
297,-90,177
298,-75,194
299,-55,216
300,-39,224
301,-26,219
302,10,205
303,68,190
304,118,183
305,138,189
306,159,193
307,208,178
308,278,140
309,330,102
310,364,83
311,399,86
312,450,91
313,519,75
314,620,25
315,756,-47
316,902,-120
317,1018,-178
318,1092,-219
319,1146,-256
320,1222,-307
321,1334,-376
322,1465,-453
323,1583,-527
324,1671,-594
325,1730,-651
326,1776,-693
327,1811,-725
328,1828,-757
329,1806,-785
330,1736,-795
331,1625,-777
332,1503,-748
333,1383,-724
334,1267,-706
335,1148,-681
336,1039,-644
337,961,-601
338,919,-565
339,881,-545
340,822,-547
341,749,-548
342,713,-529
343,729,-496
344,771,-485
345,794,-504
346,806,-527
347,832,-521
348,889,-507
349,951,-517
350,999,-553
351,1026,-580
352,1052,-583
353,1084,-574
354,1127,-582
355,1174,-614
356,1226,-662
357,1272,-711
358,1304,-750
359,1317,-768
360,1326,-765
361,1343,-755
362,1366,-759
363,1372,-772
364,1349,-770
365,1294,-735
366,1213,-686
367,1110,-643
368,995,-609
369,882,-578
370,782,-556
371,692,-545
372,605,-530
373,519,-500
374,448,-470
375,398,-456
376,369,-450
377,358,-430
378,367,-405
379,381,-394
380,382,-404
381,361,-413
382,339,-405
383,327,-380
384,321,-352
385,298,-332
386,265,-321
387,237,-313
388,228,-307
389,223,-305
390,212,-310
391,192,-309
392,178,-299
393,166,-277
394,155,-269
395,137,-273
396,128,-291
397,125,-285
398,127,-257
399,112,-214
400,79,-191
401,58,-193
402,78,-207
403,137,-217
404,202,-227
405,245,-232
406,250,-227
407,216,-234
408,211,-331
409,407,-625
410,986,-1192
411,1928,-2027
412,2944,-3027
413,3677,-3994
414,4001,-4726
415,4053,-5104
416,3960,-5107
417,3604,-4731
418,2777,-3991
419,1549,-3011
420,367,-2050
421,-301,-1348
422,-365,-946
423,-126,-710
424,74,-508
425,122,-317
426,93,-183
427,74,-119
428,75,-89
429,72,-59
430,68,-34
431,73,-29
432,84,-41
433,83,-44
434,81,-35
435,85,-12
436,94,11
437,79,43
438,49,59
439,32,58
440,51,38
441,78,28
442,78,32
443,51,44
444,33,56
445,47,70
446,69,92
447,56,113
448,10,121
449,-25,114
450,-10,104
451,38,97
452,78,85
