timestamp,ecg_measurement
6034140,1.5933528900
6038012,1.6764417648
6041904,1.7155425548
6045784,1.7302052974
6049652,1.7644183635
6053532,1.8035190582
6057412,1.8328446388
6061296,1.8377322196
6065180,1.8181818962
6069064,1.8328446388
6072948,1.8768328666
6076836,1.9012707710
6080708,1.9012707710
6084572,1.8817204475
6088452,1.8866080284
6092320,1.9012707710
6096192,1.9257086753
6100064,1.9257086753
6103940,1.9012707710
6107816,1.9012707710
6111688,1.9257086753
6115568,1.9648094177
6119444,1.9696969985
6123312,1.9501466751
6127200,1.9354838371
6131088,1.9648094177
6134964,2.0039100646
6138820,2.0234603881
6142692,2.0039100646
6146548,2.0039100646
6150412,2.0136852264
6154280,2.0625610351
6158148,2.0967741012
6162020,2.0869989395
6165892,2.0723361968
6169772,2.0918865203
6173636,2.1358749866
6177516,2.1798632144
6181396,2.1896383762
6185276,2.1896383762
6189156,2.1994135379
6193036,2.2482893466
6196924,2.3020527362
6200804,2.2971651554
6204692,2.2776148319
6208572,2.2776148319
6212452,2.3118278980
6216324,2.3509285449
6220196,2.3509285449
6224076,2.3069403171
6227948,2.2825024127
6231828,2.3069403171
6235700,2.3167154788
6239580,2.2971651554
6243460,2.2287390232
6247324,2.1700880527
6251196,2.1163244247
6255084,2.0772237777
6258964,2.0185728073
6262832,1.9257086753
6266700,1.8328446388
6270580,1.7790811061
6274456,1.7546432018
6278328,1.7302052974
6282196,1.6813293457
6286084,1.6373411178
6289972,1.6177907943
6293856,1.6226783752
6297740,1.6373411178
6301620,1.6324535369
6305504,1.5933528900
6309364,1.5884653091
6313248,1.6080156326
6317116,1.6422286987
6320996,1.6324535369
6324888,1.6129032135
6328772,1.6177907943
6332652,1.6324535369
6336532,1.6715541839
6340404,1.6568914413
6344292,1.6275659561
6348184,1.6226783752
6352068,1.6373411178
6355948,1.6666666030
6359832,1.6813293457
6363720,1.6715541839
6367608,1.6715541839
6371492,1.6959922313
6375364,1.7350928783
6379248,1.7497556209
6383128,1.7399804592
6387008,1.7399804592
6390876,1.7595307826
6394748,1.7937438488
6398640,1.8084066390
6402504,1.8035190582
6406364,1.7888562679
6410252,1.8035190582
6414116,1.8230694770
6417992,1.8426198005
6421864,1.8328446388
6425744,1.8279570579
6429616,1.8426198005
6433480,1.8670577049
6437344,1.8866080284
6441212,1.8963831901
6445092,1.8670577049
6448956,1.8817204475
6452836,1.8817204475
6456716,1.8914956092
6460600,1.8719452857
6464472,1.8426198005
6468332,1.8328446388
6472224,1.8377322196
6476112,1.8621701240
6479984,1.8377322196
6483864,1.8377322196
6487748,1.8132943153
6491640,1.8279570579
6495512,1.8426198005
